translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': 'Standard import value', 'es': 'Valor global de importación'}"
"{'en': 'Standard import value\n', 'es': 'Valor global de importación'}"
"{'en': 'Discrimination in educational programmes', 'es': 'Discriminación en los programas educacionales'}"
"{'en': 'Discrimination in educational programs\n', 'es': 'Discriminación en los programas educacionales'}"
"{'en': 'Stable, reliable and qualified team', 'es': 'Equipo estable, confiable y calificado'}"
"{'en': 'Stable, reliable and qualified team\n', 'es': 'Equipo estable, confiable y calificado'}"
"{'en': 'General standard of conduct', 'es': 'Normas generales de conducta'}"
"{'en': 'General standard of conduct\n', 'es': 'Normas generales de conducta'}"
"{'en': 'Compilation and installation', 'es': 'Compilación e instalación'}"
"{'en': 'Compilation and Installation\n', 'es': 'Compilación e instalación'}"
"{'en': 'LABEL FOR ORAL SOLUTION', 'es': 'ETIQUETA FRASCO PARA LA SOLUCIÓN ORAL'}"
"{'en': 'BOTTLE LABEL FOR ORAL SOLUTION\n', 'es': 'ETIQUETA FRASCO PARA LA SOLUCIÓN ORAL'}"
"{'en': 'Messages from Mother Earth', 'es': 'Mensajes de la Madre Tierra'}"
"{'en': 'Messages of Mother Earth\n', 'es': 'Mensajes de la Madre Tierra'}"
"{'en': 'Functions in Mauritius', 'es': 'Cargos desempeñados en Mauricio'}"
"{'en': 'Functions in Mauritius\n', 'es': 'Cargos desempeñados en Mauricio'}"
"{'en': 'Trade in elephant specimens', 'es': 'Comercio de especímenes de elefante'}"
"{'en': 'Trade in elephant specimens\n', 'es': 'Comercio de especímenes de elefante'}"
"{'en': 'SPECIAL STORAGE CONDITIONS', 'es': 'CONDICIONES ESPECIALES DE CONSERVACIÓN'}"
"{'en': 'SPECIAL STORAGE CONDITIONS\n', 'es': 'CONDICIONES ESPECIALES DE CONSERVACIÓN'}"
"{'en': 'El Rompido Airport Transfers (Spain)', 'es': 'Servicio de traslado en El Rompido (España)'}"
"{'en': 'El Rompido airport transfers (Spain)\n', 'es': 'Servicio de traslado en El Rompido (España)'}"
"{'en': 'Assistance provided, planned or received', 'es': 'Asistencia prestada, proyectada o recibida'}"
"{'en': 'Assistance provided, planned or received\n', 'es': 'Asistencia prestada, proyectada o recibida'}"
"{'en': 'Chapter Paragraphs Page', 'es': 'Resumen'}"
"{'en': 'Chapter Paragraphs Page\n', 'es': 'Resumen'}"
"{'en': 'List of abbreviations', 'es': 'Lista de abreviaciones'}"
"{'en': 'List of abbreviations\n', 'es': 'Lista de abreviaciones'}"
"{'en': 'General obligations of States parties', 'es': 'Obligaciones generales de los Estados Partes'}"
"{'en': 'General obligations of States parties\n', 'es': 'Obligaciones generales de los Estados Partes'}"
"{'en': 'PHARMACEUTICAL FORM AND CONTENTS', 'es': 'FORMA FARMACÉUTICA Y CONTENIDO DEL ENVASE'}"
"{'en': 'PHARMACEUTICAL FORM AND CONTENTS\n', 'es': 'FORMA FARMACÉUTICA Y CONTENIDO DEL ENVASE'}"
"{'en': 'Change the signature of the time', 'es': 'Cambiar la marca de tiempo'}"
"{'en': 'Change time signature\n', 'es': 'Cambiar la marca de tiempo'}"
"{'en': 'Entry into force', 'es': 'Entrada en vigor'}"
"{'en': 'Entry into force\n', 'es': 'Entrada en vigor'}"
"{'en': 'Libya: Bani Walid besieged by violence · Global Voices', 'es': 'Libia: Bani Walid bajo violento asedio'}"
"{'en': 'Libya: Bani Walid under violent siege · Global Voices\n', 'es': 'Libia: Bani Walid bajo violento asedio'}"
"{'en': 'Consequences and broader context', 'es': 'Consecuencias y contexto más amplio'}"
"{'en': 'Implications and Broader Context\n', 'es': 'Consecuencias y contexto más amplio'}"
"{'en': 'Technical depreciation period', 'es': 'Período de amortización técnica'}"
"{'en': 'Technical amortisation period\n', 'es': 'Período de amortización técnica'}"
"{'en': 'Metabolism and nutrition disorders', 'es': 'Trastornos del metabolismo y de la nutrición'}"
"{'en': 'Metabolism and nutrition disorders\n', 'es': 'Trastornos del metabolismo y de la nutrición'}"
"{'en': 'Truth and values', 'es': 'La verdad y los valores.'}"
"{'en': 'Truth and values\n', 'es': 'La verdad y los valores.'}"
"{'en': 'ADVICE ON CORRECT ADMINISTRATION', 'es': 'RECOMENDACIÓN PARA UNA CORRECTA ADMINISTRACIÓN'}"
"{'en': 'ADVICE ON CORRECT ADMINISTRATION\n', 'es': 'RECOMENDACIÓN PARA UNA CORRECTA ADMINISTRACIÓN'}"
"{'en': 'Number of adults', 'es': 'N. de adultos'}"
"{'en': 'Number of adults\n', 'es': 'N. de adultos'}"
"{'en': 'Learning, development and human resources services', 'es': 'Aprendizaje, perfeccionamiento y servicios de recursos humanos'}"
"{'en': 'Learning, development and human resources services\n', 'es': 'Aprendizaje, perfeccionamiento y servicios de recursos humanos'}"
"{'en': 'Main professional activities', 'es': 'Principales actividades profesionales'}"
"{'en': 'Main professional activities\n', 'es': 'Principales actividades profesionales'}"
"{'en': 'Or do you choose to believe Martin Luther?', 'es': 'o escoge creerle a Martín Lutero?'}"
"{'en': 'or do you choose to believe Martin Luther?\n', 'es': 'o escoge creerle a Martín Lutero?'}"
"{'en': ""- You're gonna have to find out."", 'es': '- Vas a tener que averiguarlo.'}"
"{'en': '- You are going to have to find out it.\n', 'es': '- Vas a tener que averiguarlo.'}"
"{'en': ""- And I'm gonna make them for you?"", 'es': '- ¿Y luego te las mostraré?'}"
"{'en': '- And then am I gonna perform them for you?\n', 'es': '- ¿Y luego te las mostraré?'}"
"{'en': 'Show both', 'es': 'Mostrar ambos'}"
"{'en': 'Show both\n', 'es': 'Mostrar ambos'}"
"{'en': 'See you later.', 'es': 'Hasta luego.'}"
"{'en': 'See you\n', 'es': 'Hasta luego.'}"
"{'en': '♪ silt party; pillow battle ♪', 'es': '*Pijamada, pelea de almohadas*'}"
"{'en': '♪ Slumber party; pillow fight ♪\n', 'es': '*Pijamada, pelea de almohadas*'}"
"{'en': '13; E/CN.4/1990/46, para.', 'es': '13; E/CN.4/1990/46, párr.'}"
"{'en': '13; E/CN.4/1990/46, para.\n', 'es': '13; E/CN.4/1990/46, párr.'}"
"{'en': ""- Who's that, badger?"", 'es': '- ¿Badger?'}"
"{'en': '- Who, Badger?\n', 'es': '- ¿Badger?'}"
"{'en': '- Hello, Adam.', 'es': '- Buenos días, Adam.'}"
"{'en': '- Morning, Adam.\n', 'es': '- Buenos días, Adam.'}"
"{'en': '- Yeah, I think so.', 'es': '- Sí, eso creo.'}"
"{'en': '- Yeah, I think.\n', 'es': '- Sí, eso creo.'}"
"{'en': ""- It's crazy, isn't it?"", 'es': '- Loco, ¿no?'}"
"{'en': '- Crazy, huh?\n', 'es': '- Loco, ¿no?'}"
"{'en': '- What?', 'es': '- ¿Qué?'}"
"{'en': '- What? !\n', 'es': '- ¿Qué?'}"
"{'en': '- Go on.', 'es': 'Sigue contando.'}"
"{'en': '-Just keep going.\n', 'es': 'Sigue contando.'}"
"{'en': '- Look, whoa, whoa...', 'es': '- Mira, vaya, vaya...'}"
"{'en': '~ Look, whoa, whoa...\n', 'es': '- Mira, vaya, vaya...'}"
"{'en': '- Turn around.', 'es': '- Vuelve atrás.'}"
"{'en': '- Turn around.\n', 'es': '- Vuelve atrás.'}"
"{'en': ""- That's amazing."", 'es': '- Es increíble.'}"
"{'en': '-This is amazing.\n', 'es': '- Es increíble.'}"
"{'en': '- Come on.', 'es': 'Vamos'}"
"{'en': '- Come on.\n', 'es': 'Vamos'}"
"{'en': ""- Oh, it's okay!"", 'es': '- Oh, ok.'}"
"{'en': '- Oh, OK!\n', 'es': '- Oh, ok.'}"
"{'en': '- Come on.', 'es': '- Vamos.'}"
"{'en': '- Come on.\n', 'es': '- Vamos.'}"
"{'en': '- I know.', 'es': '- Lo sé.'}"
"{'en': '- I know.\n', 'es': '- Lo sé.'}"
"{'en': '- Of course.', 'es': '- Por supuesto.'}"
"{'en': '- Of course.\n', 'es': '- Por supuesto.'}"
"{'en': '3)/Corr.1, A/58/6 (Sect.', 'es': '3)/Corr.1, A/58/6 (Sect.'}"
"{'en': '3)/Corr.1, A/58/6 (Sect.\n', 'es': '3)/Corr.1, A/58/6 (Sect.'}"
"{'en': '- Yes.', 'es': '- Sí.'}"
"{'en': '- Oh, yeah.\n', 'es': '- Sí.'}"
"{'en': '- Touching, not tight.', 'es': '- Juntos, no revueltos.'}"
"{'en': '- Touching, not clenching.\n', 'es': '- Juntos, no revueltos.'}"
"{'en': '- Goodbye, Dad.', 'es': '- Gob se sintió herido. - Adiós, papá.'}"
"{'en': '- Bye, Pop.\n', 'es': '- Gob se sintió herido. - Adiós, papá.'}"
"{'en': '- Right here.', 'es': '- Justo allí.'}"
"{'en': '- Right there.\n', 'es': '- Justo allí.'}"
"{'en': ""Dell's getting green."", 'es': '- Dell se está volviendo verde.'}"
"{'en': ""- Dell's going green.\n"", 'es': '- Dell se está volviendo verde.'}"
"{'en': '- I know.', 'es': '- Lo sé.'}"
"{'en': '- I know.\n', 'es': '- Lo sé.'}"
"{'en': '- Sit down?', 'es': '- ¿Sentarnos?'}"
"{'en': '- Sit down?\n', 'es': '- ¿Sentarnos?'}"
"{'en': '- Come on.', 'es': '- Venga.'}"
"{'en': '- Come on.\n', 'es': '- Venga.'}"
"{'en': '- A.K.A. my dick, Uncle Salty.', 'es': '- Conocido mi pene, Tio Imbécil.'}"
"{'en': '- A.K.A. my dick, Uncle Salty.\n', 'es': '- Conocido mi pene, Tio Imbécil.'}"
"{'en': '- Oh, that!', 'es': '- ¡Oh, eso no!'}"
"{'en': '- Oh, that!\n', 'es': '- ¡Oh, eso no!'}"
"{'en': '- Oh, my God!', 'es': '- ¡Oh, Dios mío!'}"
"{'en': '- Oh my God!\n', 'es': '- ¡Oh, Dios mío!'}"
"{'en': '- Oh, weird.', 'es': '- Qué raro.'}"
"{'en': '- Oh, weird.\n', 'es': '- Qué raro.'}"
"{'en': '- Stretch, 900.', 'es': '- Alcance, 900.'}"
"{'en': '- Range, 900.\n', 'es': '- Alcance, 900.'}"
"{'en': ""- Yes, I'm sorry."", 'es': 'Sí, perdónanos.'}"
"{'en': '- Yes, sorry.\n', 'es': 'Sí, perdónanos.'}"
"{'en': '- Come on, Webster.', 'es': '- Vamos, Webster.'}"
"{'en': '- Come on, Webster.\n', 'es': '- Vamos, Webster.'}"
"{'en': '- Yes, sir.', 'es': '-Oh, sí, señor.'}"
"{'en': '- Oh, yes, sir.\n', 'es': '-Oh, sí, señor.'}"
"{'en': '- Scooge Lockhart!', 'es': '- ¡Lockhart, tacaño!'}"
"{'en': '- Scrooge Lockhart!\n', 'es': '- ¡Lockhart, tacaño!'}"
"{'en': '- Who knows?', 'es': '- ¿Quién sabe?'}"
"{'en': '- Who knows?\n', 'es': '- ¿Quién sabe?'}"
"{'en': '- Yes, but...', 'es': '- Sí, pero...'}"
"{'en': '- Yeah, but...\n', 'es': '- Sí, pero...'}"
"{'en': '- Sir, Loc Dog?', 'es': '- Uh, Señor, uh, Loc Dog?'}"
"{'en': '- Uh, Mister, uh, Loc Dog?\n', 'es': '- Uh, Señor, uh, Loc Dog?'}"
"{'en': '- All right.', 'es': '- De acuerdo.'}"
"{'en': '- All right.\n', 'es': '- De acuerdo.'}"
"{'en': '- Sorry, Nesa.', 'es': '- Lo siento mucho, Nenad.'}"
"{'en': '- So sorry, Nesa.\n', 'es': '- Lo siento mucho, Nenad.'}"
"{'en': ""That's it!"", 'es': '- Dr. Solomon... - No, debo decir algo antes.'}"
"{'en': 'this, this!\n', 'es': '- Dr. Solomon... - No, debo decir algo antes.'}"
"{'en': ""- It's not gonna happen."", 'es': '- No va a pasar.'}"
"{'en': ""- Ain't gonna happen.\n"", 'es': '- No va a pasar.'}"
"{'en': '- Are you sure?', 'es': '- ¿Estás seguro ahora?'}"
"{'en': '- You sure?\n', 'es': '- ¿Estás seguro ahora?'}"
"{'en': ""- Hey, that's it."", 'es': '-Hola'}"
"{'en': '- Hey, there.\n', 'es': '-Hola'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hi there.\n', 'es': '- Hola.'}"
"{'en': '- Of course.', 'es': 'Claro que sí.'}"
"{'en': '- Of course.\n', 'es': 'Claro que sí.'}"
"{'en': '- Yes, hello.', 'es': '- Sí, hola'}"
"{'en': '- Yes, hello.\n', 'es': '- Sí, hola'}"
"{'en': '- Is that free?', 'es': '¿Todo Gratis?'}"
"{'en': '- For free?\n', 'es': '¿Todo Gratis?'}"
"{'en': 'Roger that, Roger.', 'es': '- Entendido, entendido.'}"
"{'en': '- Roger, roger.\n', 'es': '- Entendido, entendido.'}"
"{'en': '- All right!', 'es': '- ¡Sí!'}"
"{'en': '- All right!\n', 'es': '- ¡Sí!'}"
"{'en': '- Sorry to interrupt.', 'es': '- Perdón por interrumpir.'}"
"{'en': '- Sorry to interrupt.\n', 'es': '- Perdón por interrumpir.'}"
"{'en': '- Concentrate, right?', 'es': '- Céntrate, ¿vale?'}"
"{'en': '- Focus, right?\n', 'es': '- Céntrate, ¿vale?'}"
"{'en': '- Get up!', 'es': '- ¡Lucharemos!'}"
"{'en': '- Stand up!\n', 'es': '- ¡Lucharemos!'}"
"{'en': ') Pridgeon & M.W.Chase, Lindleyana 16(4): 241 (2001).', 'es': ') Pridgeon & M.W.Chase, Lindleyana 16(4): 241 (2001).'}"
"{'en': ') Pridgeon & M.W.Chase, Lindleyana 16(4): 241 (2001).\n', 'es': ') Pridgeon & M.W.Chase, Lindleyana 16(4): 241 (2001).'}"
"{'en': '- Meg. 18?', 'es': '-Meg, ¿Ya tienes 18? -No.'}"
"{'en': '- Hey, Meg. 18 yet?\n', 'es': '-Meg, ¿Ya tienes 18? -No.'}"
"{'en': '- Shut up, Bennett.', 'es': '- Cállate, Bennett.'}"
"{'en': '- Shut up, Bennett.\n', 'es': '- Cállate, Bennett.'}"
"{'en': '- Cael, Eric.', 'es': 'Cal, Eric.'}"
"{'en': '- Cael, Eric.\n', 'es': 'Cal, Eric.'}"
"{'en': '- Father Angelo!', 'es': '- Padre Angelo.'}"
"{'en': '- Father Angelo!\n', 'es': '- Padre Angelo.'}"
"{'en': '- I know.', 'es': '- Lo sé.'}"
"{'en': '- I know.\n', 'es': '- Lo sé.'}"
"{'en': '** Reissued under the symbol Jöreskog, K.G., & Sörbom, D. (1979).', 'es': '** Reprinted as* Jöreskog, K. G., & Sörbom, D. (1979).'}"
"{'en': '** Reprinted as*Jöreskog, K. G., & Sörbom, D. (1979).\n', 'es': '** Reprinted as* Jöreskog, K. G., & Sörbom, D. (1979).'}"
"{'en': '- Yeah, you open it?', 'es': '- Sí, ¿tú abres?'}"
"{'en': '- Yeah, you open?\n', 'es': '- Sí, ¿tú abres?'}"
"{'en': '8 and 19).', 'es': '8 y 19).'}"
"{'en': '8 and 19).\n', 'es': '8 y 19).'}"
"{'en': '- Oh, yes.', 'es': '- Sí.'}"
"{'en': '- Ohh, yeah.\n', 'es': '- Sí.'}"
"{'en': '- Are you sure?', 'es': '-¿Estás seguro?'}"
"{'en': '- You sure?\n', 'es': '-¿Estás seguro?'}"
"{'en': '- Really?', 'es': '- ¿En serio?'}"
"{'en': '- Really? Yes.\n', 'es': '- ¿En serio?'}"
"{'en': '- Really?', 'es': '- ¿Tú no?'}"
"{'en': ""- YOU DON'T?\n"", 'es': '- ¿Tú no?'}"
"{'en': '- Yeah, we know.', 'es': '-Sí, lo sabemos.'}"
"{'en': '- Yeah, we know.\n', 'es': '-Sí, lo sabemos.'}"
"{'en': '- All right.', 'es': '- Dígame.'}"
"{'en': '- All right.\n', 'es': '- Dígame.'}"
"{'en': 'to him.', 'es': 'Y carro de combate.'}"
"{'en': 'to it.\n', 'es': 'Y carro de combate.'}"
"{'en': '- Did you get slapped?', 'es': '- ¿Te abofetearon?'}"
"{'en': '- You got slapped?\n', 'es': '- ¿Te abofetearon?'}"
"{'en': '- Lola Valdez.', 'es': 'Lola Valdéz.'}"
"{'en': '- Lola Valdez.\n', 'es': 'Lola Valdéz.'}"
"{'en': ""Barb, what's this?"", 'es': '¡Barb!'}"
"{'en': '[sniffling] [gasping] Barb!\n', 'es': '¡Barb!'}"
"{'en': '- Mr. Turner?', 'es': '- ¿Sr. Turner?'}"
"{'en': '- Uh, Mr. Turner?\n', 'es': '- ¿Sr. Turner?'}"
"{'en': 'I could.', 'es': 'Podría.'}"
"{'en': 'i could.\n', 'es': 'Podría.'}"
"{'en': '- Raffaele, what happened?', 'es': '-Raffaele, ¿qué pasa? -¡Un desastre, Carmela!'}"
"{'en': '- Raffaele, what happened?\n', 'es': '-Raffaele, ¿qué pasa? -¡Un desastre, Carmela!'}"
"{'en': '- Don Station.', 'es': '- Estación Don.'}"
"{'en': '- Don Station.\n', 'es': '- Estación Don.'}"
"{'en': 'Jason, Don Haskins, Texas Western.', 'es': '- ¿De Western Union?'}"
"{'en': '- Jason, Don Haskins, Texas Western. - Western Union?\n', 'es': '- ¿De Western Union?'}"
"{'en': '- Very happy.', 'es': '- Es un placer.'}"
"{'en': '- Very pleased.\n', 'es': '- Es un placer.'}"
"{'en': '- Arrested?', 'es': '- ¿Arrestado?'}"
"{'en': '- Arrested? !\n', 'es': '- ¿Arrestado?'}"
"{'en': '- Of course.', 'es': '- Por supuesto.'}"
"{'en': '- Of course.\n', 'es': '- Por supuesto.'}"
"{'en': '- Mrs. Harris!', 'es': '- ¡Señora Harris!'}"
"{'en': '- Mrs. Harris!\n', 'es': '- ¡Señora Harris!'}"
"{'en': '- Get off of me.', 'es': '- Muérete.'}"
"{'en': '- Drop dead.\n', 'es': '- Muérete.'}"
"{'en': '- Wait.', 'es': '- Espera.'}"
"{'en': '- Hang on.\n', 'es': '- Espera.'}"
"{'en': '- Are you sure?', 'es': '¿Seguro?'}"
"{'en': '- You sure?\n', 'es': '¿Seguro?'}"
"{'en': '""Wow, how intriguing, Max.""', 'es': 'Cuán intrigante, Max.'}"
"{'en': '""Wow! How intriguing, Max"".\n', 'es': 'Cuán intrigante, Max.'}"
"{'en': '- Oh, my God.', 'es': '- Dios mío.'}"
"{'en': '- Oh, my God.\n', 'es': '- Dios mío.'}"
"{'en': '- All right, go ahead.', 'es': '- Bien, vaya.'}"
"{'en': '- Good, go.\n', 'es': '- Bien, vaya.'}"
"{'en': '- James, what?', 'es': '- James, ¿qué?'}"
"{'en': '- James, what?\n', 'es': '- James, ¿qué?'}"
"{'en': '- Burt Reynolds.', 'es': '- Brando gordo.'}"
"{'en': '- Burt Reynolds.\n', 'es': '- Brando gordo.'}"
"{'en': ""Ah, that's it."", 'es': '[Snaps dedos] Ah.'}"
"{'en': '[ Snaps Fingers ] Ah.\n', 'es': '[Snaps dedos] Ah.'}"
"{'en': ""- It's all quiet."", 'es': '- Nada, calma plana.'}"
"{'en': '- All quiet.\n', 'es': '- Nada, calma plana.'}"
"{'en': '- Yes.', 'es': '- Sí.'}"
"{'en': '~ Oh, yes.\n', 'es': '- Sí.'}"
"{'en': 'Just create', 'es': 'Sólo tienes que crear el momento adecuado.'}"
"{'en': 'You just need to create\n', 'es': 'Sólo tienes que crear el momento adecuado.'}"
"{'en': 'ZONES IN GERMANY APPROVED WITH REGARD TO VHS AND IHN', 'es': 'ZONAS AUTORIZADAS RESPECTO DE LA SHV Y LA NHI EN ALEMANIA'}"
"{'en': 'ZONES IN GERMANY APPROVED WITH REGARD TO VHS AND IHN\n', 'es': 'ZONAS AUTORIZADAS RESPECTO DE LA SHV Y LA NHI EN ALEMANIA'}"
"{'en': 'This is McLoughlin.', 'es': 'Aquí McLoughlin,'}"
"{'en': 'This is McLoughlin\n', 'es': 'Aquí McLoughlin,'}"
"{'en': ""It's just not yours."", 'es': 'Pero no a ti misma'}"
"{'en': 'JUST NOT YOURSELF\n', 'es': 'Pero no a ti misma'}"
"{'en': 'I was just looking...', 'es': 'Estaba buscando...'}"
"{'en': 'I was just looking for--\n', 'es': 'Estaba buscando...'}"
"{'en': 'I knew it would be you.', 'es': '¡No sé quien eres!'}"
"{'en': 'I knew it would be you\n', 'es': '¡No sé quien eres!'}"
"{'en': 'Everything I can do', 'es': 'Todo lo que puedo hacer'}"
"{'en': 'All I can do\n', 'es': 'Todo lo que puedo hacer'}"
"{'en': 'Sometimes I just want to stand at Royce Quad and scream,', 'es': 'A veces quisiera pararme en medio del Royce Quad y gritar:'}"
"{'en': 'Sometimes I just wanna stand in Royce Quad and yell,\n', 'es': 'A veces quisiera pararme en medio del Royce Quad y gritar:'}"
"{'en': ""We're killing you because you're too zealous."", 'es': '# Calmarnos por el exceso de celos #'}"
"{'en': 'Get shot down cause ya over-zealous\n', 'es': '# Calmarnos por el exceso de celos #'}"
"{'en': 'You think I was doing this?', 'es': '¿Yo? ¿Creen que tenía'}"
"{'en': 'Me? You think I was having\n', 'es': '¿Yo? ¿Creen que tenía'}"
"{'en': 'Honey...', 'es': '-Cariño.'}"
"{'en': 'Sweetheart-\n', 'es': '-Cariño.'}"
"{'en': 'The President', 'es': 'El Presidente'}"
"{'en': 'The President\n', 'es': 'El Presidente'}"
"{'en': 'MAN:', 'es': 'Un chaval nos dijo:'}"
"{'en': 'MAN:\n', 'es': 'Un chaval nos dijo:'}"
"{'en': 'Finish:', 'es': 'Acabados:'}"
"{'en': 'Finish:\n', 'es': 'Acabados:'}"
"{'en': 'But...', 'es': 'Pero...'}"
"{'en': 'But--\n', 'es': 'Pero...'}"
"{'en': ""- What's that?"", 'es': 'Exacto.'}"
"{'en': 'BURT:\n', 'es': 'Exacto.'}"
"{'en': 'Response 27', 'es': 'Sírvanse señalar si el Estado Parte ha difundido el Pacto y el proceso de presentación del presente informe, e informar de toda participación de representantes de grupos minoritarios y de la sociedad civil en el proceso de preparación del informe.'}"
"{'en': 'Reply 27\n', 'es': 'Sírvanse señalar si el Estado Parte ha difundido el Pacto y el proceso de presentación del presente informe, e informar de toda participación de representantes de grupos minoritarios y de la sociedad civil en el proceso de preparación del informe.'}"
"{'en': 'The Bible', 'es': 'Archivo La Biblia:'}"
"{'en': 'The Bible\n', 'es': 'Archivo La Biblia:'}"
"{'en': 'V. Parameters', 'es': 'V. Parámetros'}"
"{'en': 'V. Parameters\n', 'es': 'V. Parámetros'}"
"{'en': ""- What's that?"", 'es': 'Gracias.'}"
"{'en': 'MONK:\n', 'es': 'Gracias.'}"
"{'en': 'Netherlands', 'es': 'Países Bajos'}"
"{'en': 'The Netherlands\n', 'es': 'Países Bajos'}"
"{'en': ""I'm coming this way."", 'es': 'Con permiso. - ¡Ven!'}"
"{'en': ""Comin'through here\n"", 'es': 'Con permiso. - ¡Ven!'}"
"{'en': ""What's this?"", 'es': 'Vi] 8y -'}"
"{'en': 'Vijay-\n', 'es': 'Vi] 8y -'}"
"{'en': 'Look,', 'es': 'Mire,'}"
"{'en': 'Look,\n', 'es': 'Mire,'}"
"{'en': '· Have you been baptized in water?', 'es': '< ¿Usted tiene sido bautizado en el agua?'}"
"{'en': '· Have you been baptized in water?\n', 'es': '< ¿Usted tiene sido bautizado en el agua?'}"
"{'en': '- Who can be removed from your ass with her.', 'es': '- ¿Servirá para limpiarme el culo?'}"
"{'en': '- Who can be removed from your ass with it.\n', 'es': '- ¿Servirá para limpiarme el culo?'}"
"{'en': 'Los Angeles Museum of Murder and Chaos.', 'es': 'El Museo del asesinato y caos de Los Angeles'}"
"{'en': 'los angeles museum of murder and mayhem.\n', 'es': 'El Museo del asesinato y caos de Los Angeles'}"
"{'en': '[Laughs]', 'es': '[Risa]'}"
"{'en': '[Laughter]\n', 'es': '[Risa]'}"
"{'en': 'business,choice,culture,economy,psychology,social change,society', 'es': 'business,choice,culture,economics,psychology,social change,society'}"
"{'en': 'business,choice,culture,economics,psychology,social change,society\n', 'es': 'business,choice,culture,economics,psychology,social change,society'}"
"{'en': '[Click Continues]', 'es': '[Saca foto]'}"
"{'en': '[Clicking continues]\n', 'es': '[Saca foto]'}"
"{'en': '- Perfect.', 'es': 'Perfecto.'}"
"{'en': '-Perfect.\n', 'es': 'Perfecto.'}"
"{'en': 'verse 2:', 'es': 'verse 2:'}"
"{'en': 'verse 2:\n', 'es': 'verse 2:'}"
"{'en': '(Crying)', 'es': '.'}"
"{'en': '(Screaming)\n', 'es': '.'}"
"{'en': '""Distortion:', 'es': '""Desvío:'}"
"{'en': '""Detour:\n', 'es': '""Desvío:'}"
"{'en': '[Knowledge continues]', 'es': '[Trueno sigue]'}"
"{'en': '[thunder continues]\n', 'es': '[Trueno sigue]'}"
"{'en': '(slings)', 'es': '(Los cacareos)'}"
"{'en': '( cackles)\n', 'es': '(Los cacareos)'}"
"{'en': '- [daughter]', 'es': '- Hermoso, cariño. - ¡Gracias, Mamá!'}"
"{'en': '- [girl]\n', 'es': '- Hermoso, cariño. - ¡Gracias, Mamá!'}"
"{'en': '- Denis.', 'es': '-Denis.'}"
"{'en': '-Denis.\n', 'es': '-Denis.'}"
"{'en': '18 A.', 'es': '19 A.'}"
"{'en': '18 A.\n', 'es': '19 A.'}"
"{'en': '0 (0%)', 'es': '0 (0%)'}"
"{'en': '0 (0%)\n', 'es': '0 (0%)'}"
"{'en': 'with heart,', 'es': 'Con el corazón,'}"
"{'en': 'with heart,\n', 'es': 'Con el corazón,'}"
"{'en': '""4-B-27.""', 'es': '""4-B-27.""'}"
"{'en': '""4-B-27.""\n', 'es': '""4-B-27.""'}"
"{'en': '(Cryptosporidium spp)', 'es': '(Cryptosporidium spp.)'}"
"{'en': '(Cryptosporidium spp)\n', 'es': '(Cryptosporidium spp.)'}"
"{'en': '1. Einleitung', 'es': '1. Introducción'}"
"{'en': '1. Einleitung\n', 'es': '1. Introducción'}"
"{'en': 'MISS LEA PERSSON FOUND STRANGLED.', 'es': 'Lea Persson hallada estrangulada.'}"
"{'en': 'MISS LEA PERSSON FOUND STRANGLED.\n', 'es': 'Lea Persson hallada estrangulada.'}"
"{'en': 'Kimmy Schmidt chose to stay.', 'es': 'Kimmy Schmidt eligió quedarse.'}"
"{'en': 'Kimmy Schmidt chose to stay.\n', 'es': 'Kimmy Schmidt eligió quedarse.'}"
"{'en': '53 Kuwait (1) (1 FUT)', 'es': '53 Kuwait (1) (1 FUT)'}"
"{'en': '53 Kuwait (1) (1 FUT)\n', 'es': '53 Kuwait (1) (1 FUT)'}"
"{'en': '27 (34) 18 (23) 35 (44)', 'es': '27 (34) 18 (23) 35 (44)'}"
"{'en': '27 (34) 18 (23) 35 (44)\n', 'es': '27 (34) 18 (23) 35 (44)'}"
"{'en': '24, 23, 22, 21, 20, 19, 18, 17...', 'es': '24, 23, 22, 21, 20, 19, 18, 17...'}"
"{'en': ""'24, 23, 22, 21, '20, 19, 18, 17...'\n"", 'es': '24, 23, 22, 21, 20, 19, 18, 17...'}"
"{'en': '21 December 2009', 'es': '29 de diciembre de 2013'}"
"{'en': '21 December 2009\n', 'es': '29 de diciembre de 2013'}"
"{'en': '2.25 1.125 0.56 1.35 0.68 0.34 0.9 0.45 0.225', 'es': '2,25 1,125 0,56 1,35 0,68 0,34 0,9 0,45 0,225'}"
"{'en': '2.25 1.125 0.56 1.35 0.68 0.34 0.9 0.45 0.225\n', 'es': '2,25 1,125 0,56 1,35 0,68 0,34 0,9 0,45 0,225'}"
"{'en': '• Ottawa, 2007', 'es': '• Ottawa, 2007'}"
"{'en': '• Ottawa, 2007\n', 'es': '• Ottawa, 2007'}"
"{'en': '16/3, 16/4, 21/3, 21/4', 'es': '16/3, 16/4, 21/3, 21/4'}"
"{'en': '16/3, 16/4, 21/3, 21/4\n', 'es': '16/3, 16/4, 21/3, 21/4'}"
"{'en': '5 - 10 (34)', 'es': '5 - 10 (15)'}"
"{'en': '5 - 10 (34)\n', 'es': '5 - 10 (15)'}"
"{'en': '- [Flicks Switching]', 'es': 'Giróscopo 2, calentar, ya está.'}"
