translation
"{'en': 'APPLICATION FOR APPROVAL', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': 'Fife.\n', 'ro': 'Fife.'}"
"{'en': 'Good.', 'ro': 'Bine,'}"
"{'en': 'Good.\n', 'ro': 'Bine,'}"
"{'en': 'Good.\n', 'ro': 'Bine,'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': ""It's Daniel."", 'ro': 'Daniel. Eşti bine, amice?'}"
"{'en': 'Daniel.\n', 'ro': 'Daniel. Eşti bine, amice?'}"
"{'en': 'Daniel.\n', 'ro': 'Daniel. Eşti bine, amice?'}"
"{'en': 'Let it simmer.', 'ro': 'Noi mergem sus.'}"
"{'en': 'Simmer.\n', 'ro': 'Noi mergem sus.'}"
"{'en': 'Simmer.\n', 'ro': 'Noi mergem sus.'}"
"{'en': ""It's possible."", 'ro': 'Posibil.'}"
"{'en': 'Possible.\n', 'ro': 'Posibil.'}"
"{'en': 'Possible.\n', 'ro': 'Posibil.'}"
"{'en': 'This?', 'ro': 'Asta ?'}"
"{'en': 'This?\n', 'ro': 'Asta ?'}"
"{'en': 'This?\n', 'ro': 'Asta ?'}"
"{'en': 'Hello.', 'ro': 'Salut.'}"
"{'en': 'Hi.\n', 'ro': 'Salut.'}"
"{'en': 'Hi.\n', 'ro': 'Salut.'}"
"{'en': 'Proud?', 'ro': 'Mândru?'}"
"{'en': 'Proud?\n', 'ro': 'Mândru?'}"
"{'en': 'Proud?\n', 'ro': 'Mândru?'}"
"{'en': 'Oh, right.', 'ro': 'Oh.'}"
"{'en': 'Oh.\n', 'ro': 'Oh.'}"
"{'en': 'Oh.\n', 'ro': 'Oh.'}"
"{'en': ""That's funny."", 'ro': 'Ce amuzant.'}"
"{'en': 'Funny.\n', 'ro': 'Ce amuzant.'}"
"{'en': 'Funny.\n', 'ro': 'Ce amuzant.'}"
"{'en': 'One!', 'ro': '1!'}"
"{'en': 'One!\n', 'ro': '1!'}"
"{'en': 'One!\n', 'ro': '1!'}"
"{'en': 'You okay?', 'ro': 'Bine?'}"
"{'en': 'Okay?\n', 'ro': 'Bine?'}"
"{'en': 'Okay?\n', 'ro': 'Bine?'}"
"{'en': 'Jamis.', 'ro': 'Jamis.'}"
"{'en': 'Jamis.\n', 'ro': 'Jamis.'}"
"{'en': 'Jamis.\n', 'ro': 'Jamis.'}"
"{'en': 'So...', 'ro': 'Deci...'}"
"{'en': 'So...\n', 'ro': 'Deci...'}"
"{'en': 'So...\n', 'ro': 'Deci...'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Help!', 'ro': 'Ajutor !'}"
"{'en': 'Help!\n', 'ro': 'Ajutor !'}"
"{'en': 'Help!\n', 'ro': 'Ajutor !'}"
"{'en': 'Who?', 'ro': 'Cine?'}"
"{'en': 'Who?\n', 'ro': 'Cine?'}"
"{'en': 'Who?\n', 'ro': 'Cine?'}"
"{'en': 'Charlie?', 'ro': 'Charlie?'}"
"{'en': 'Charlie?\n', 'ro': 'Charlie?'}"
"{'en': 'Charlie?\n', 'ro': 'Charlie?'}"
"{'en': 'Good.', 'ro': 'Bună.'}"
"{'en': 'Good.\n', 'ro': 'Bună.'}"
"{'en': 'Good.\n', 'ro': 'Bună.'}"
"{'en': '- Hartmann?', 'ro': 'Hartmann? Domnule?'}"
"{'en': 'Hartmann?\n', 'ro': 'Hartmann? Domnule?'}"
"{'en': 'Hartmann?\n', 'ro': 'Hartmann? Domnule?'}"
"{'en': 'All right.', 'ro': 'Bine. Şi...'}"
"{'en': 'Okay.\n', 'ro': 'Bine. Şi...'}"
"{'en': 'Okay.\n', 'ro': 'Bine. Şi...'}"
"{'en': 'Please!', 'ro': 'Te rog!'}"
"{'en': 'Please!\n', 'ro': 'Te rog!'}"
"{'en': 'Please!\n', 'ro': 'Te rog!'}"
"{'en': 'What?', 'ro': 'Ce ?'}"
"{'en': 'What?\n', 'ro': 'Ce ?'}"
"{'en': 'What?\n', 'ro': 'Ce ?'}"
"{'en': 'Goodbye.', 'ro': 'PA!'}"
"{'en': 'Bye.\n', 'ro': 'PA!'}"
"{'en': 'Bye.\n', 'ro': 'PA!'}"
"{'en': ""I'm sorry!"", 'ro': 'Iartă-mă!'}"
"{'en': 'Sorry!\n', 'ro': 'Iartă-mă!'}"
"{'en': 'Sorry!\n', 'ro': 'Iartă-mă!'}"
"{'en': ""Lowe, that's not true."", 'ro': '- Lowe!'}"
"{'en': 'Lowe.\n', 'ro': '- Lowe!'}"
"{'en': 'Lowe.\n', 'ro': '- Lowe!'}"
"{'en': 'Come on!', 'ro': 'Du-te!'}"
"{'en': 'Go!\n', 'ro': 'Du-te!'}"
"{'en': 'Go!\n', 'ro': 'Du-te!'}"
"{'en': 'Welcome.', 'ro': 'Bine ai venit.'}"
"{'en': 'Welcome.\n', 'ro': 'Bine ai venit.'}"
"{'en': 'Welcome.\n', 'ro': 'Bine ai venit.'}"
"{'en': 'Look!', 'ro': 'Uite!'}"
"{'en': 'Look!\n', 'ro': 'Uite!'}"
"{'en': 'Look!\n', 'ro': 'Uite!'}"
"{'en': 'Mahalo!', 'ro': 'Mahalo!'}"
"{'en': 'Mahalo!\n', 'ro': 'Mahalo!'}"
"{'en': 'Mahalo!\n', 'ro': 'Mahalo!'}"
"{'en': 'Help.', 'ro': 'Ajutor ! .'}"
"{'en': 'Help.\n', 'ro': 'Ajutor ! .'}"
"{'en': 'Help.\n', 'ro': 'Ajutor ! .'}"
"{'en': 'Hello.', 'ro': 'Hei.'}"
"{'en': 'Hey.\n', 'ro': 'Hei.'}"
"{'en': 'Hey.\n', 'ro': 'Hei.'}"
"{'en': 'Welcome.', 'ro': 'Bun venit!'}"
"{'en': 'Welcome.\n', 'ro': 'Bun venit!'}"
"{'en': 'Welcome.\n', 'ro': 'Bun venit!'}"
"{'en': 'Tighter.', 'ro': 'Mai strâns.'}"
"{'en': 'Tighter.\n', 'ro': 'Mai strâns.'}"
"{'en': 'Tighter.\n', 'ro': 'Mai strâns.'}"
"{'en': 'Hello.', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Goodbye.', 'ro': '- Pa!'}"
"{'en': 'Bye.\n', 'ro': '- Pa!'}"
"{'en': 'Bye.\n', 'ro': '- Pa!'}"
"{'en': 'Henri?', 'ro': 'Henri?'}"
"{'en': 'Henri?\n', 'ro': 'Henri?'}"
"{'en': 'Henri?\n', 'ro': 'Henri?'}"
"{'en': 'Is that Hellerman?', 'ro': 'Hellerman?'}"
"{'en': 'Hellerman?\n', 'ro': 'Hellerman?'}"
"{'en': 'Hellerman?\n', 'ro': 'Hellerman?'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Fine.\n', 'ro': 'Bine.'}"
"{'en': 'Fine.\n', 'ro': 'Bine.'}"
"{'en': 'Kavanaugh?', 'ro': 'Kavanaugh ?'}"
"{'en': 'Kavanaugh?\n', 'ro': 'Kavanaugh ?'}"
"{'en': 'Kavanaugh?\n', 'ro': 'Kavanaugh ?'}"
"{'en': 'Amy?', 'ro': 'Amy?'}"
"{'en': 'Amy?\n', 'ro': 'Amy?'}"
"{'en': 'Amy?\n', 'ro': 'Amy?'}"
"{'en': ""It's Antonia!"", 'ro': 'Antonia!'}"
"{'en': 'Antonia!\n', 'ro': 'Antonia!'}"
"{'en': 'Antonia!\n', 'ro': 'Antonia!'}"
"{'en': ""It's Mac!"", 'ro': 'Mac!'}"
"{'en': 'Mac!\n', 'ro': 'Mac!'}"
"{'en': 'Mac!\n', 'ro': 'Mac!'}"
"{'en': 'Two.', 'ro': 'Doi.'}"
"{'en': 'Two.\n', 'ro': 'Doi.'}"
"{'en': 'Two.\n', 'ro': 'Doi.'}"
"{'en': ""What's the matter?"", 'ro': 'Wham!'}"
"{'en': 'Wham!\n', 'ro': 'Wham!'}"
"{'en': 'Wham!\n', 'ro': 'Wham!'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Ok.\n', 'ro': 'Bine.'}"
"{'en': 'Ok.\n', 'ro': 'Bine.'}"
"{'en': 'Oh, my God?', 'ro': 'Dumnezeule! Se trezeşte!'}"
"{'en': 'Gosh?\n', 'ro': 'Dumnezeule! Se trezeşte!'}"
"{'en': 'Gosh?\n', 'ro': 'Dumnezeule! Se trezeşte!'}"
"{'en': ""It's Git."", 'ro': 'Rade-o!'}"
"{'en': 'Git.\n', 'ro': 'Rade-o!'}"
"{'en': 'Git.\n', 'ro': 'Rade-o!'}"
"{'en': 'Here.', 'ro': 'Uite.'}"
"{'en': 'Here.\n', 'ro': 'Uite.'}"
"{'en': 'Here.\n', 'ro': 'Uite.'}"
"{'en': 'Go on.', 'ro': 'Acumdu-te.'}"
"{'en': 'Nowgoon .\n', 'ro': 'Acumdu-te.'}"
"{'en': 'Nowgoon .\n', 'ro': 'Acumdu-te.'}"
"{'en': 'Oh, my God!', 'ro': 'Oh!'}"
"{'en': 'Oh!\n', 'ro': 'Oh!'}"
"{'en': 'Oh!\n', 'ro': 'Oh!'}"
"{'en': 'Move!', 'ro': 'Mişcaţi-vă.'}"
"{'en': 'Move!\n', 'ro': 'Mişcaţi-vă.'}"
"{'en': 'Move!\n', 'ro': 'Mişcaţi-vă.'}"
"{'en': 'See?', 'ro': 'Vedeţi?'}"
"{'en': 'See?\n', 'ro': 'Vedeţi?'}"
"{'en': 'See?\n', 'ro': 'Vedeţi?'}"
"{'en': ""It's Christina."", 'ro': 'Christina.'}"
"{'en': 'Christina.\n', 'ro': 'Christina.'}"
"{'en': 'Christina.\n', 'ro': 'Christina.'}"
"{'en': 'Oh, my God.', 'ro': 'Haide.'}"
"{'en': 'No.\n', 'ro': 'Haide.'}"
"{'en': 'No.\n', 'ro': 'Haide.'}"
"{'en': 'Me!', 'ro': 'Eu !'}"
"{'en': 'Me!\n', 'ro': 'Eu !'}"
"{'en': 'Me!\n', 'ro': 'Eu !'}"
"{'en': 'Please.', 'ro': 'Vă rog.'}"
"{'en': 'Please.\n', 'ro': 'Vă rog.'}"
"{'en': 'Please.\n', 'ro': 'Vă rog.'}"
"{'en': 'Right now?', 'ro': 'Acum?'}"
"{'en': 'Now?\n', 'ro': 'Acum?'}"
"{'en': 'Now?\n', 'ro': 'Acum?'}"
"{'en': 'What?', 'ro': 'Poftim?'}"
"{'en': 'What?\n', 'ro': 'Poftim?'}"
"{'en': 'What?\n', 'ro': 'Poftim?'}"
"{'en': 'Hello!', 'ro': '- Nu vreţi să ştiţi unde e cadavrul?'}"
"{'en': 'Hey!\n', 'ro': '- Nu vreţi să ştiţi unde e cadavrul?'}"
"{'en': 'Hey!\n', 'ro': '- Nu vreţi să ştiţi unde e cadavrul?'}"
"{'en': 'Oh, my God.', 'ro': 'Ţi-au scos inima.'}"
"{'en': 'No.\n', 'ro': 'Ţi-au scos inima.'}"
"{'en': 'No.\n', 'ro': 'Ţi-au scos inima.'}"
"{'en': 'Good.', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': ""It's Marshall."", 'ro': 'Marshall.'}"
"{'en': 'Marshall.\n', 'ro': 'Marshall.'}"
"{'en': 'Marshall.\n', 'ro': 'Marshall.'}"
"{'en': ""It's John."", 'ro': 'John.'}"
"{'en': 'John.\n', 'ro': 'John.'}"
"{'en': 'John.\n', 'ro': 'John.'}"
"{'en': 'Shit.', 'ro': 'Rahat!'}"
"{'en': 'Shit.\n', 'ro': 'Rahat!'}"
"{'en': 'Shit.\n', 'ro': 'Rahat!'}"
"{'en': 'Hello!', 'ro': 'Alo!'}"
"{'en': 'Hello!\n', 'ro': 'Alo!'}"
"{'en': 'Hello!\n', 'ro': 'Alo!'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Fine.\n', 'ro': 'Bine.'}"
"{'en': 'Fine.\n', 'ro': 'Bine.'}"
"{'en': 'Is that Billy?', 'ro': 'Billy?'}"
"{'en': 'Billy?\n', 'ro': 'Billy?'}"
"{'en': 'Billy?\n', 'ro': 'Billy?'}"
"{'en': 'Shit.', 'ro': 'Rahat.'}"
"{'en': 'Shit.\n', 'ro': 'Rahat.'}"
"{'en': 'Shit.\n', 'ro': 'Rahat.'}"
"{'en': 'Yes.', 'ro': 'Da.'}"
"{'en': 'Yep.\n', 'ro': 'Da.'}"
"{'en': 'Yep.\n', 'ro': 'Da.'}"
"{'en': 'Move!', 'ro': 'Mişcaţi-vă!'}"
"{'en': 'Move!\n', 'ro': 'Mişcaţi-vă!'}"
"{'en': 'Move!\n', 'ro': 'Mişcaţi-vă!'}"
"{'en': 'Bad.', 'ro': 'Mult.'}"
"{'en': 'Badly.\n', 'ro': 'Mult.'}"
"{'en': 'Badly.\n', 'ro': 'Mult.'}"
"{'en': 'Again.', 'ro': 'Repetă.'}"
"{'en': 'Again.\n', 'ro': 'Repetă.'}"
"{'en': 'Again.\n', 'ro': 'Repetă.'}"
"{'en': 'Here.', 'ro': 'Iată.'}"
"{'en': 'Here.\n', 'ro': 'Iată.'}"
"{'en': 'Here.\n', 'ro': 'Iată.'}"
"{'en': 'Abby!', 'ro': 'Abby!'}"
"{'en': 'Abby!\n', 'ro': 'Abby!'}"
"{'en': 'Abby!\n', 'ro': 'Abby!'}"
"{'en': 'Oh, my God.', 'ro': '-Nu.'}"
"{'en': 'No.\n', 'ro': '-Nu.'}"
"{'en': 'No.\n', 'ro': '-Nu.'}"
"{'en': 'Here.', 'ro': 'Aici.'}"
"{'en': 'Here.\n', 'ro': 'Aici.'}"
"{'en': 'Here.\n', 'ro': 'Aici.'}"
"{'en': 'Is that Peter?', 'ro': 'Peter?'}"
"{'en': 'Peter?\n', 'ro': 'Peter?'}"
"{'en': 'Peter?\n', 'ro': 'Peter?'}"
"{'en': ""I'm sorry."", 'ro': 'Scuze.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuze.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuze.'}"
"{'en': ""I'm sorry."", 'ro': 'Scuze.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuze.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuze.'}"
"{'en': 'Lee.', 'ro': 'Lee.'}"
"{'en': 'Lee.\n', 'ro': 'Lee.'}"
"{'en': 'Lee.\n', 'ro': 'Lee.'}"
"{'en': 'Oh, my God.', 'ro': 'Nu...'}"
"{'en': 'No.\n', 'ro': 'Nu...'}"
"{'en': 'No.\n', 'ro': 'Nu...'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No one.', 'ro': '- Nimeni.'}"
"{'en': 'Nobody.\n', 'ro': '- Nimeni.'}"
"{'en': 'Nobody.\n', 'ro': '- Nimeni.'}"
"{'en': 'I...', 'ro': 'Eu...'}"
"{'en': 'I...\n', 'ro': 'Eu...'}"
"{'en': 'I...\n', 'ro': 'Eu...'}"
"{'en': 'Eric.', 'ro': '- E grozav.'}"
"{'en': 'Eric.\n', 'ro': '- E grozav.'}"
"{'en': 'Eric.\n', 'ro': '- E grozav.'}"
"{'en': 'On the seafront.', 'ro': '- Cheiul...'}"
"{'en': 'Waterfront.\n', 'ro': '- Cheiul...'}"
"{'en': 'Waterfront.\n', 'ro': '- Cheiul...'}"
"{'en': 'Nothing.', 'ro': 'Nimic.'}"
"{'en': 'Nothing.\n', 'ro': 'Nimic.'}"
"{'en': 'Nothing.\n', 'ro': 'Nimic.'}"
"{'en': 'Photographer.', 'ro': '- Fotograf.'}"
"{'en': 'Photographer.\n', 'ro': '- Fotograf.'}"
"{'en': 'Photographer.\n', 'ro': '- Fotograf.'}"
"{'en': 'Well...', 'ro': 'Ei bine...'}"
"{'en': 'Well...\n', 'ro': 'Ei bine...'}"
"{'en': 'Well...\n', 'ro': 'Ei bine...'}"
"{'en': 'Anytime.', 'ro': 'Oricând.'}"
"{'en': 'Anytime.\n', 'ro': 'Oricând.'}"
"{'en': 'Anytime.\n', 'ro': 'Oricând.'}"
"{'en': 'Oh, my God!', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': 'What?', 'ro': 'Cum ?'}"
"{'en': 'What?\n', 'ro': 'Cum ?'}"
"{'en': 'What?\n', 'ro': 'Cum ?'}"
"{'en': 'All right.', 'ro': 'Ok.'}"
"{'en': 'OK.\n', 'ro': 'Ok.'}"
"{'en': 'OK.\n', 'ro': 'Ok.'}"
"{'en': 'Virginia!', 'ro': 'Marcus!'}"
"{'en': 'Virginia!\n', 'ro': 'Marcus!'}"
"{'en': 'Virginia!\n', 'ro': 'Marcus!'}"
"{'en': 'Next.', 'ro': 'Urmatoarea.'}"
"{'en': 'Next.\n', 'ro': 'Urmatoarea.'}"
"{'en': 'Next.\n', 'ro': 'Urmatoarea.'}"
"{'en': 'Attention!', 'ro': 'Atenţie!'}"
"{'en': 'Attention!\n', 'ro': 'Atenţie!'}"
"{'en': 'Attention!\n', 'ro': 'Atenţie!'}"
"{'en': 'Immediately.', 'ro': 'Imediat.'}"
"{'en': 'Immediately.\n', 'ro': 'Imediat.'}"
"{'en': 'Immediately.\n', 'ro': 'Imediat.'}"
"{'en': 'But...', 'ro': 'Totuşi...'}"
"{'en': 'But...\n', 'ro': 'Totuşi...'}"
"{'en': 'But...\n', 'ro': 'Totuşi...'}"
"{'en': 'Look.', 'ro': 'Uite.'}"
"{'en': 'Look.\n', 'ro': 'Uite.'}"
"{'en': 'Look.\n', 'ro': 'Uite.'}"
"{'en': 'Actually...', 'ro': 'De fapt ...'}"
"{'en': 'Actually...\n', 'ro': 'De fapt ...'}"
"{'en': 'Actually...\n', 'ro': 'De fapt ...'}"
"{'en': 'Sakamoto!', 'ro': 'Sakamoto!'}"
"{'en': 'Sakamoto!\n', 'ro': 'Sakamoto!'}"
"{'en': 'Sakamoto!\n', 'ro': 'Sakamoto!'}"
"{'en': ""It's Fred."", 'ro': 'Fred.'}"
"{'en': 'Fred.\n', 'ro': 'Fred.'}"
"{'en': 'Fred.\n', 'ro': 'Fred.'}"
"{'en': 'Great.', 'ro': 'Minunat!'}"
"{'en': 'Great.\n', 'ro': 'Minunat!'}"
"{'en': 'Great.\n', 'ro': 'Minunat!'}"
"{'en': 'Sorry?', 'ro': 'Regreti?'}"
"{'en': 'Sorry?\n', 'ro': 'Regreti?'}"
"{'en': 'Sorry?\n', 'ro': 'Regreti?'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Good.', 'ro': 'Bună.'}"
"{'en': 'Good.\n', 'ro': 'Bună.'}"
"{'en': 'Good.\n', 'ro': 'Bună.'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'Excuse me?', 'ro': 'Să-mi cer scuze?'}"
"{'en': 'Apologize?\n', 'ro': 'Să-mi cer scuze?'}"
"{'en': 'Apologize?\n', 'ro': 'Să-mi cer scuze?'}"
"{'en': 'Oh, my God.', 'ro': 'Nu mai spune...'}"
"{'en': 'Wow...\n', 'ro': 'Nu mai spune...'}"
"{'en': 'Wow...\n', 'ro': 'Nu mai spune...'}"
"{'en': 'Florida.', 'ro': 'Abia a ajuns din Florida.'}"
"{'en': 'Florida.\n', 'ro': 'Abia a ajuns din Florida.'}"
"{'en': 'Florida.\n', 'ro': 'Abia a ajuns din Florida.'}"
"{'en': 'Cuba, Congo,', 'ro': 'Cuba, Congo,'}"
"{'en': 'Cuba, Congo,\n', 'ro': 'Cuba, Congo,'}"
"{'en': 'Cuba, Congo,\n', 'ro': 'Cuba, Congo,'}"
"{'en': 'Good.', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': 'Dad.', 'ro': 'Tată'}"
"{'en': 'Dad.\n', 'ro': 'Tată'}"
"{'en': 'Dad.\n', 'ro': 'Tată'}"
"{'en': 'Oh, my God!', 'ro': 'Când zidurile erau acoperite în bronz.'}"
"{'en': 'Oh!\n', 'ro': 'Când zidurile erau acoperite în bronz.'}"
"{'en': 'Oh!\n', 'ro': 'Când zidurile erau acoperite în bronz.'}"
"{'en': ""It's fascinating."", 'ro': 'Fascinant...'}"
"{'en': 'Fascinating.\n', 'ro': 'Fascinant...'}"
"{'en': 'Fascinating.\n', 'ro': 'Fascinant...'}"
"{'en': '- Yes.', 'ro': 'Mmm.'}"
"{'en': 'Mmm.\n', 'ro': 'Mmm.'}"
"{'en': 'Mmm.\n', 'ro': 'Mmm.'}"
"{'en': 'All right.', 'ro': 'Ok.'}"
"{'en': 'Okay.\n', 'ro': 'Ok.'}"
"{'en': 'Okay.\n', 'ro': 'Ok.'}"
"{'en': 'Yes?', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'Wait.', 'ro': 'Stai.'}"
"{'en': 'Wait.\n', 'ro': 'Stai.'}"
"{'en': 'Wait.\n', 'ro': 'Stai.'}"
"{'en': ""I'm the one talking."", 'ro': 'La telefon.'}"
"{'en': 'Speaking.\n', 'ro': 'La telefon.'}"
"{'en': 'Speaking.\n', 'ro': 'La telefon.'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'All right.', 'ro': 'OK.'}"
"{'en': 'OK.\n', 'ro': 'OK.'}"
"{'en': 'OK.\n', 'ro': 'OK.'}"
"{'en': 'Oops!', 'ro': 'Oops!'}"
"{'en': 'Whoops!\n', 'ro': 'Oops!'}"
"{'en': 'Whoops!\n', 'ro': 'Oops!'}"
"{'en': 'Yes?', 'ro': 'Da?'}"
"{'en': 'Yes?\n', 'ro': 'Da?'}"
"{'en': 'Yes?\n', 'ro': 'Da?'}"
"{'en': ""That's right."", 'ro': 'Mm.'}"
"{'en': 'Mm.\n', 'ro': 'Mm.'}"
"{'en': 'Mm.\n', 'ro': 'Mm.'}"
"{'en': 'What?', 'ro': '- Ce este?'}"
"{'en': 'What?\n', 'ro': '- Ce este?'}"
"{'en': 'What?\n', 'ro': '- Ce este?'}"
"{'en': 'Jackpot.', 'ro': 'Jackpot.'}"
"{'en': 'Jackpot.\n', 'ro': 'Jackpot.'}"
"{'en': 'Jackpot.\n', 'ro': 'Jackpot.'}"
"{'en': 'Salad?', 'ro': 'Salată?'}"
"{'en': 'Salad?\n', 'ro': 'Salată?'}"
"{'en': 'Salad?\n', 'ro': 'Salată?'}"
"{'en': 'How...', 'ro': 'Cum ...'}"
"{'en': 'How...\n', 'ro': 'Cum ...'}"
"{'en': 'How...\n', 'ro': 'Cum ...'}"
"{'en': ""I'm sorry."", 'ro': 'Îmi pare rău.'}"
"{'en': 'SORRY.\n', 'ro': 'Îmi pare rău.'}"
"{'en': 'SORRY.\n', 'ro': 'Îmi pare rău.'}"
"{'en': 'Goodbye.', 'ro': 'Pa.'}"
"{'en': 'Bye.\n', 'ro': 'Pa.'}"
"{'en': 'Bye.\n', 'ro': 'Pa.'}"
"{'en': 'Where?', 'ro': '- Stai, stai, stai.'}"
"{'en': 'WHERE?\n', 'ro': '- Stai, stai, stai.'}"
"{'en': 'WHERE?\n', 'ro': '- Stai, stai, stai.'}"
"{'en': 'Because...', 'ro': 'Pentru că...'}"
"{'en': 'Because...\n', 'ro': 'Pentru că...'}"
"{'en': 'Because...\n', 'ro': 'Pentru că...'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Alright.\n', 'ro': 'Bine.'}"
"{'en': 'Alright.\n', 'ro': 'Bine.'}"
"{'en': 'Pastrami?', 'ro': 'Pastramă ?'}"
"{'en': 'Pastrami?\n', 'ro': 'Pastramă ?'}"
"{'en': 'Pastrami?\n', 'ro': 'Pastramă ?'}"
"{'en': 'Almost!', 'ro': 'Închideţi!'}"
"{'en': 'Close!\n', 'ro': 'Închideţi!'}"
"{'en': 'Close!\n', 'ro': 'Închideţi!'}"
"{'en': 'Help!', 'ro': 'Ajutor !'}"
"{'en': 'Help!\n', 'ro': 'Ajutor !'}"
"{'en': 'Help!\n', 'ro': 'Ajutor !'}"
"{'en': 'Calm down!', 'ro': 'Taci!'}"
"{'en': 'Quiet!\n', 'ro': 'Taci!'}"
"{'en': 'Quiet!\n', 'ro': 'Taci!'}"
"{'en': 'Constable!', 'ro': 'Domnule poliţist!'}"
"{'en': 'Constable!\n', 'ro': 'Domnule poliţist!'}"
"{'en': 'Constable!\n', 'ro': 'Domnule poliţist!'}"
"{'en': 'Unbelievably.', 'ro': 'Cu brutalitate.'}"
"{'en': 'Brutally.\n', 'ro': 'Cu brutalitate.'}"
"{'en': 'Brutally.\n', 'ro': 'Cu brutalitate.'}"
"{'en': 'Good.', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': 'Good.\n', 'ro': 'Bine.'}"
"{'en': 'Oh, my God.', 'ro': 'Ham!'}"
"{'en': 'Woof.\n', 'ro': 'Ham!'}"
"{'en': 'Woof.\n', 'ro': 'Ham!'}"
"{'en': 'You know,', 'ro': 'Ştii tu...'}"
"{'en': 'You know,\n', 'ro': 'Ştii tu...'}"
"{'en': 'You know,\n', 'ro': 'Ştii tu...'}"
"{'en': 'Both?', 'ro': 'Ambele?'}"
"{'en': 'Both?\n', 'ro': 'Ambele?'}"
"{'en': 'Both?\n', 'ro': 'Ambele?'}"
"{'en': 'Oh, my God.', 'ro': 'D-zeule.'}"
"{'en': 'God.\n', 'ro': 'D-zeule.'}"
"{'en': 'God.\n', 'ro': 'D-zeule.'}"
"{'en': 'Arizona!', 'ro': 'Arizona!'}"
"{'en': 'Arizona!\n', 'ro': 'Arizona!'}"
"{'en': 'Arizona!\n', 'ro': 'Arizona!'}"
"{'en': 'Hello.', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Haruko!', 'ro': 'Haruko !'}"
"{'en': 'Haruko!\n', 'ro': 'Haruko !'}"
"{'en': 'Haruko!\n', 'ro': 'Haruko !'}"
"{'en': 'Oh, my God.', 'ro': 'Nu'}"
"{'en': 'No.\n', 'ro': 'Nu'}"
"{'en': 'No.\n', 'ro': 'Nu'}"
"{'en': 'You.', 'ro': 'Tu.'}"
"{'en': 'You.\n', 'ro': 'Tu.'}"
"{'en': 'You.\n', 'ro': 'Tu.'}"
"{'en': 'Absolutely.', 'ro': 'Cu siguranţă.'}"
"{'en': 'Definitely.\n', 'ro': 'Cu siguranţă.'}"
"{'en': 'Definitely.\n', 'ro': 'Cu siguranţă.'}"
"{'en': 'Me?', 'ro': 'Pe mine?'}"
"{'en': 'Me?\n', 'ro': 'Pe mine?'}"
"{'en': 'Me?\n', 'ro': 'Pe mine?'}"
"{'en': 'What?', 'ro': 'Ce ?'}"
"{'en': 'What?\n', 'ro': 'Ce ?'}"
"{'en': 'What?\n', 'ro': 'Ce ?'}"
"{'en': 'Dude.', 'ro': 'Amice.'}"
