translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': 'Misc Diagonal\n', 'af': 'Diagonale GradiÃ«nt 1'}"
"{'en': 'Roseville', 'af': 'MobieleCity in Minnesota USA (optional, probably does not need a translation)'}"
"{'en': 'Roseville\n', 'af': 'MobieleCity in Minnesota USA (optional, probably does not need a translation)'}"
"{'en': 'Ibadan', 'af': 'AdaCity in Nigeria'}"
"{'en': 'Ibadan\n', 'af': 'AdaCity in Nigeria'}"
"{'en': 'Next work', 'af': 'Volgende Werk'}"
"{'en': 'Next Job\n', 'af': 'Volgende Werk'}"
"{'en': 'Scroll upwards', 'af': 'Rol op'}"
"{'en': 'Scroll Up\n', 'af': 'Rol op'}"
"{'en': 'Start time', 'af': 'Begin Tyd'}"
"{'en': 'Start Time\n', 'af': 'Begin Tyd'}"
"{'en': 'Normal', 'af': 'Normale'}"
"{'en': 'Normal\n', 'af': 'Normale'}"
"{'en': 'David Johnson', 'af': 'David Johnson'}"
"{'en': 'David Johnson\n', 'af': 'David Johnson'}"
"{'en': 'Command mode', 'af': 'B_evel(e):'}"
"{'en': 'Commander Mode\n', 'af': 'B_evel(e):'}"
"{'en': 'Python', 'af': 'Foon'}"
"{'en': 'Python\n', 'af': 'Foon'}"
"{'en': 'Post-Script Information', 'af': 'Postscript InligtingName'}"
"{'en': 'PostScript Info\n', 'af': 'Postscript InligtingName'}"
"{'en': 'Westhaven', 'af': 'Westhaven'}"
"{'en': 'Westhaven\n', 'af': 'Westhaven'}"
"{'en': 'Sound', 'af': 'Klank'}"
"{'en': 'Sound\n', 'af': 'Klank'}"
"{'en': 'Inbox', 'af': 'Uitgaande boks'}"
"{'en': 'Outbox\n', 'af': 'Uitgaande boks'}"
"{'en': 'In', 'af': 'In'}"
"{'en': 'In\n', 'af': 'In'}"
"{'en': 'Qt Assistant', 'af': 'Qt AssistentGenericName'}"
"{'en': 'Qt Assistant\n', 'af': 'Qt AssistentGenericName'}"
"{'en': 'Participant', 'af': 'Lys'}"
"{'en': 'Attendee\n', 'af': 'Lys'}"
"{'en': 'Maximize', 'af': 'Maksimeer'}"
"{'en': 'Maximize\n', 'af': 'Maksimeer'}"
"{'en': 'Pseudonym', 'af': 'Bynaam'}"
"{'en': 'Nickname\n', 'af': 'Bynaam'}"
"{'en': 'Epiphany', 'af': 'EpiphanyName'}"
"{'en': 'Epiphany\n', 'af': 'EpiphanyName'}"
"{'en': 'Save Screenshot', 'af': 'Stoor skermskoot'}"
"{'en': 'Save Screenshot\n', 'af': 'Stoor skermskoot'}"
"{'en': 'Alnilam', 'af': 'LeonCity in New Jersey USA'}"
"{'en': 'Alnilam\n', 'af': 'LeonCity in New Jersey USA'}"
"{'en': 'AVR Assembly', 'af': 'AVR AssemblerLanguage'}"
"{'en': 'AVR Assembler\n', 'af': 'AVR AssemblerLanguage'}"
"{'en': 'Hebrew', 'af': 'Hebreeus'}"
"{'en': 'Hebrew\n', 'af': 'Hebreeus'}"
"{'en': 'New meeting', 'af': 'Nuwe vergadering'}"
"{'en': 'New Meeting\n', 'af': 'Nuwe vergadering'}"
"{'en': 'Delete Tasks', 'af': 'Voltooide take'}"
"{'en': 'Delete Tasks\n', 'af': 'Voltooide take'}"
"{'en': 'Security information', 'af': 'Sekuriteitsinligting'}"
"{'en': 'Security Information\n', 'af': 'Sekuriteitsinligting'}"
"{'en': 'Mouse input', 'af': 'Muistoevoer'}"
"{'en': 'Mouse Input\n', 'af': 'Muistoevoer'}"
"{'en': 'Play', 'af': 'Meervoud'}"
"{'en': 'Play\n', 'af': 'Meervoud'}"
"{'en': 'Supplier chain', 'af': 'Verkoper String'}"
"{'en': 'Vendor String\n', 'af': 'Verkoper String'}"
"{'en': 'Chinese Simplified', 'af': 'Vereenvoudigde SjineseName'}"
"{'en': 'Simplified Chinese\n', 'af': 'Vereenvoudigde SjineseName'}"
"{'en': 'Israel', 'af': 'Israel'}"
"{'en': 'Israel\n', 'af': 'Israel'}"
"{'en': 'Half letter', 'af': 'Halwe- brief'}"
"{'en': 'HalfLetter\n', 'af': 'Halwe- brief'}"
"{'en': 'Thai Baht', 'af': 'Saudi ArabiÃ«Name'}"
"{'en': 'Thai Baht\n', 'af': 'Saudi ArabiÃ«Name'}"
"{'en': 'Hitori', 'af': 'Hitori'}"
"{'en': 'Hitori\n', 'af': 'Hitori'}"
"{'en': 'Insert a star', 'af': 'Voeg by Ster'}"
"{'en': 'Insert Star\n', 'af': 'Voeg by Ster'}"
"{'en': 'Special opportunity', 'af': 'Spesiale geleentheid'}"
"{'en': 'Special Occasion\n', 'af': 'Spesiale geleentheid'}"
"{'en': 'Ukrainian', 'af': 'Oekraïens'}"
"{'en': 'Ukrainian\n', 'af': 'Oekraïens'}"
"{'en': 'Database location', 'af': 'Databasis Ligging'}"
"{'en': 'Database Location\n', 'af': 'Databasis Ligging'}"
"{'en': 'Aid', 'af': '_Hulp'}"
"{'en': 'Help\n', 'af': '_Hulp'}"
"{'en': 'EXPRESS', 'af': 'Vinnige'}"
"{'en': 'FAST\n', 'af': 'Vinnige'}"
"{'en': 'United States D', 'af': 'Us D'}"
"{'en': 'US D\n', 'af': 'Us D'}"
"{'en': 'Fifteenth session', 'af': 'XVName'}"
"{'en': 'XV\n', 'af': 'XVName'}"
"{'en': 'SE', 'af': 'Se'}"
"{'en': 'SE\n', 'af': 'Se'}"
"{'en': 'GNOME', 'af': 'GNOME'}"
"{'en': 'GNOME\n', 'af': 'GNOME'}"
"{'en': 'EXPRESSION', 'af': 'UITDRUKKING'}"
"{'en': 'EXPRESSION\n', 'af': 'UITDRUKKING'}"
"{'en': 'ATS', 'af': 'TTY'}"
"{'en': 'TTY\n', 'af': 'TTY'}"
"{'en': 'Tel.', 'af': 'KG'}"
"{'en': 'KB\n', 'af': 'KG'}"
"{'en': 'GNOME', 'af': 'GNOME'}"
"{'en': 'GNOME\n', 'af': 'GNOME'}"
"{'en': 'SS', 'af': 'SS'}"
"{'en': 'SS\n', 'af': 'SS'}"
"{'en': 'PHP', 'af': 'php'}"
"{'en': 'PHP\n', 'af': 'php'}"
"{'en': 'CMYK', 'af': 'Cmyk'}"
"{'en': 'CMYK\n', 'af': 'Cmyk'}"
"{'en': ""Regulation (EU) No 1308/2013 of the European Parliament and of the Council of 16 December 2013 on the implementation of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Republic of China and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Republic of China and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement between the European Economic Community and the People's Republic of China on the application of the Agreement"", 'af': 'BGR'}"
"{'en': 'BGR\n', 'af': 'BGR'}"
"{'en': 'KPPP', 'af': 'Name=Taiwan'}"
"{'en': 'KPPP\n', 'af': 'Name=Taiwan'}"
"{'en': 'GLSL', 'af': 'GLSLLanguage'}"
"{'en': 'GLSL\n', 'af': 'GLSLLanguage'}"
"{'en': 'RGB', 'af': 'RGB'}"
"{'en': 'RGB\n', 'af': 'RGB'}"
"{'en': 'GEOMETRY', 'af': 'MEETKUNDE'}"
"{'en': 'GEOMETRY\n', 'af': 'MEETKUNDE'}"
"{'en': 'CWWM', 'af': 'CWWMComment'}"
"{'en': 'CWWM\n', 'af': 'CWWMComment'}"
"{'en': 'OVR', 'af': 'OVR'}"
"{'en': 'OVR\n', 'af': 'OVR'}"
"{'en': 'A', 'af': 'A'}"
"{'en': 'A\n', 'af': 'A'}"
"{'en': 'All right.', 'af': 'Regso'}"
"{'en': 'OK\n', 'af': 'Regso'}"
"{'en': 'AC', 'af': 'AC'}"
"{'en': 'AC\n', 'af': 'AC'}"
"{'en': 'TEXT', 'af': 'TEKS'}"
"{'en': 'TEXT\n', 'af': 'TEKS'}"
"{'en': 'O', 'af': 'O'}"
"{'en': 'O\n', 'af': 'O'}"
"{'en': 'URI', 'af': 'Uri'}"
"{'en': 'URI\n', 'af': 'Uri'}"
"{'en': 'AC', 'af': 'AC'}"
"{'en': 'AC\n', 'af': 'AC'}"
"{'en': 'KPPP', 'af': 'KpppName'}"
"{'en': 'KPPP\n', 'af': 'KpppName'}"
"{'en': 'User identification number', 'af': 'GesigteComment'}"
"{'en': 'RSS\n', 'af': 'GesigteComment'}"
"{'en': 'DVD±R', 'af': 'DVD±R'}"
"{'en': 'DVD±R\n', 'af': 'DVD±R'}"
"{'en': 'MSN', 'af': 'MSN'}"
"{'en': 'MSN\n', 'af': 'MSN'}"
"{'en': 'BLOCK', 'af': 'Blk'}"
"{'en': 'BLOCK\n', 'af': 'Blk'}"
"{'en': 'VRML', 'af': 'VRMLLanguage'}"
"{'en': 'VRML\n', 'af': 'VRMLLanguage'}"
"{'en': 'Tel.', 'af': 'LA'}"
"{'en': 'RO\n', 'af': 'LA'}"
"{'en': 'R', 'af': 'R'}"
"{'en': 'R\n', 'af': 'R'}"
"{'en': 'AWK', 'af': 'AWKLanguage Section'}"
"{'en': 'AWK\n', 'af': 'AWKLanguage Section'}"
"{'en': 'Rayon:', 'af': 'Radium'}"
"{'en': 'Radius:\n', 'af': 'Radium'}"
"{'en': 'Angle:', 'af': 'Hoek :'}"
"{'en': 'Angle :\n', 'af': 'Hoek :'}"
"{'en': 'gAlan', 'af': 'NoatunGenericName'}"
"{'en': 'gAlan\n', 'af': 'NoatunGenericName'}"
"{'en': 'before', 'af': 'voor'}"
"{'en': 'before\n', 'af': 'voor'}"
"{'en': 'Date:', 'af': 'Datum :'}"
"{'en': 'Date :\n', 'af': 'Datum :'}"
"{'en': 'Description:', 'af': 'IntekeningsEMAIL OF TRANSLATORS'}"
"{'en': 'Description:\n', 'af': 'IntekeningsEMAIL OF TRANSLATORS'}"
"{'en': 'FLSA', 'af': 'flsa'}"
"{'en': 'flsa\n', 'af': 'flsa'}"
"{'en': 'Destination:', 'af': 'Bestemming:'}"
"{'en': 'Destination:\n', 'af': 'Bestemming:'}"
"{'en': 'Downstairs:', 'af': 'Bodem :'}"
"{'en': 'Bottom :\n', 'af': 'Bodem :'}"
"{'en': '_Organization:', 'af': 'Or_ganisasie:'}"
"{'en': 'Or_ganization:\n', 'af': 'Or_ganisasie:'}"
"{'en': 'Lines:', 'af': 'Lyne:'}"
"{'en': 'Lines:\n', 'af': 'Lyne:'}"
"{'en': 'Subject:', 'af': 'Onderwerp :'}"
"{'en': 'Subject :\n', 'af': 'Onderwerp :'}"
"{'en': 'Comment:', 'af': 'Opmerking:'}"
"{'en': 'Comment:\n', 'af': 'Opmerking:'}"
"{'en': '_This is the most appropriate solution', 'af': 'B_este passing'}"
"{'en': 'B_est Fit\n', 'af': 'B_este passing'}"
"{'en': 'Package:', 'af': 'Pakket:'}"
"{'en': 'Package:\n', 'af': 'Pakket:'}"
"{'en': 'Status:', 'af': 'Status:'}"
"{'en': 'Status:\n', 'af': 'Status:'}"
"{'en': 'Never', 'af': 'vir altyd'}"
"{'en': 'never\n', 'af': 'vir altyd'}"
"{'en': 'for', 'af': 'of'}"
"{'en': 'for\n', 'af': 'of'}"
"{'en': '_Address:', 'af': 'A_dres:'}"
"{'en': 'A_ddress:\n', 'af': 'A_dres:'}"
"{'en': 'Copyright:', 'af': 'Kopiereg:'}"
"{'en': 'Copyright:\n', 'af': 'Kopiereg:'}"
"{'en': 'Technology:', 'af': 'Tegnologie:'}"
"{'en': 'Technology:\n', 'af': 'Tegnologie:'}"
"{'en': 'fog', 'af': 'mis'}"
"{'en': 'fog\n', 'af': 'mis'}"
"{'en': 'false', 'af': '--options foo=VALVAL'}"
"{'en': 'false\n', 'af': '--options foo=VALVAL'}"
"{'en': '_Arise', 'af': '_Maak skoon'}"
"{'en': 'C_lear\n', 'af': '_Maak skoon'}"
"{'en': 'of Aba', 'af': 'Aba'}"
"{'en': 'of Aba\n', 'af': 'Aba'}"
"{'en': 'Extension:', 'af': 'Uitbreiding:'}"
"{'en': 'Extension:\n', 'af': 'Uitbreiding:'}"
"{'en': 'list box', 'af': 'lys'}"
"{'en': 'list box\n', 'af': 'lys'}"
"{'en': 'Project Data', 'af': '_Dataprojek'}"
"{'en': 'D_ata project\n', 'af': '_Dataprojek'}"
"{'en': 'Action to be taken:', 'af': 'Aksie:'}"
"{'en': 'Action:\n', 'af': 'Aksie:'}"
"{'en': 'Description:', 'af': 'Beskrywing:'}"
"{'en': 'Description:\n', 'af': 'Beskrywing:'}"
"{'en': 'Linear', 'af': 'BlaasMinimum value of the gradient'}"
"{'en': 'linear\n', 'af': 'BlaasMinimum value of the gradient'}"
"{'en': 'Port:', 'af': 'Poort :'}"
"{'en': 'Port :\n', 'af': 'Poort :'}"
"{'en': 'Maps:', 'af': 'Kaarte:'}"
"{'en': 'Maps:\n', 'af': 'Kaarte:'}"
"{'en': 'Address:', 'af': 'Adres :'}"
"{'en': 'Address :\n', 'af': 'Adres :'}"
"{'en': 'Note:', 'af': 'Opmerking :'}"
"{'en': 'Remark :\n', 'af': 'Opmerking :'}"
"{'en': 'Properties:', 'af': 'Laag Eienskappe...'}"
"{'en': 'Properties:\n', 'af': 'Laag Eienskappe...'}"
"{'en': 'used', 'af': 'in gebruik'}"
"{'en': 'used\n', 'af': 'in gebruik'}"
"{'en': 'kbps', 'af': 'kbps'}"
"{'en': 'kbps\n', 'af': 'kbps'}"
"{'en': 'Print preview', 'af': 'Druk_voorskou'}"
"{'en': 'Print Pre_view\n', 'af': 'Druk_voorskou'}"
"{'en': '_Properties', 'af': '_Eienskappe'}"
"{'en': 'P_roperties\n', 'af': '_Eienskappe'}"
"{'en': 'Password:', 'af': 'Publiseer ...'}"
"{'en': 'Password :\n', 'af': 'Publiseer ...'}"
"{'en': 'qBittorrent', 'af': 'qBittorrent'}"
"{'en': 'qBittorrent\n', 'af': 'qBittorrent'}"
"{'en': 'random', 'af': 'Lukrake'}"
"{'en': 'random\n', 'af': 'Lukrake'}"
"{'en': 'Comment:', 'af': 'Opmerking:'}"
"{'en': 'Comment:\n', 'af': 'Opmerking:'}"
"{'en': 'hexagon', 'af': 'seshoek'}"
"{'en': 'hexagon\n', 'af': 'seshoek'}"
"{'en': 'five', 'af': 'vyf'}"
"{'en': 'five\n', 'af': 'vyf'}"
"{'en': 'Foreword:', 'af': 'Voorgrond:'}"
"{'en': 'Foreground:\n', 'af': 'Voorgrond:'}"
"{'en': 'red joker', 'af': 'rooi nar'}"
"{'en': 'red joker\n', 'af': 'rooi nar'}"
"{'en': 'Level:', 'af': 'Vlak:'}"
"{'en': 'Level:\n', 'af': 'Vlak:'}"
"{'en': 'Mesage:', 'af': 'Bood_skap:'}"
"{'en': 'Mes_sage:\n', 'af': 'Bood_skap:'}"
"{'en': 'S_how grid', 'af': 'Wys _rooster'}"
"{'en': 'S_how grid\n', 'af': 'Wys _rooster'}"
"{'en': 'Scheme:', 'af': 'Spoed:'}"
"{'en': 'Speed:\n', 'af': 'Spoed:'}"
"{'en': 'Artist:', 'af': 'Kunstenaar:'}"
"{'en': 'Artist:\n', 'af': 'Kunstenaar:'}"
"{'en': 'Height:', 'af': 'Hoogte:'}"
"{'en': 'Height:\n', 'af': 'Hoogte:'}"
"{'en': '(Thousands of United States dollars)', 'af': 'rsh'}"
"{'en': 'rsh\n', 'af': 'rsh'}"
"{'en': 'Command:', 'af': 'Opdrag@ info: whatsthis'}"
"{'en': 'Command:\n', 'af': 'Opdrag@ info: whatsthis'}"
"{'en': 'Background:', 'af': 'Agtergrond:'}"
"{'en': 'Background:\n', 'af': 'Agtergrond:'}"
"{'en': 'Scilab', 'af': 'scilabLanguage'}"
"{'en': 'scilab\n', 'af': 'scilabLanguage'}"
"{'en': 'Volume:', 'af': 'Volume :'}"
"{'en': 'Volume :\n', 'af': 'Volume :'}"
"{'en': '_Apply Filters', 'af': 'P_as filters toe'}"
"{'en': 'A_pply Filters\n', 'af': 'P_as filters toe'}"
"{'en': 'Description:', 'af': 'Beskrywing:'}"
"{'en': 'Description:\n', 'af': 'Beskrywing:'}"
"{'en': '_Reverse Effects', 'af': 'Vo_rige effekte'}"
"{'en': 'P_revious Effects\n', 'af': 'Vo_rige effekte'}"
"{'en': 'last', 'af': 'laaste'}"
"{'en': 'last\n', 'af': 'laaste'}"
"{'en': 'Threshold:', 'af': 'Verf drempelpunt:'}"
"{'en': 'Threshold:\n', 'af': 'Verf drempelpunt:'}"
"{'en': 'Creator:', 'af': 'Skepper:'}"
"{'en': 'Creator:\n', 'af': 'Skepper:'}"
"{'en': 'Sleep', 'af': 'slaapprocess status'}"
"{'en': 'sleeping\n', 'af': 'slaapprocess status'}"
"{'en': 'Pacific/Funafuti', 'af': 'Stille_ Oseaan/ Funafuti'}"
"{'en': 'Pacific/ Funafuti\n', 'af': 'Stille_ Oseaan/ Funafuti'}"
"{'en': 'BIN2OT(value)', 'af': 'Bin2oct( waarde)'}"
"{'en': 'BIN2OCT(value)\n', 'af': 'Bin2oct( waarde)'}"
"{'en': 'Calendar:', 'af': '_Kalender:'}"
"{'en': 'Calendar:\n', 'af': '_Kalender:'}"
"{'en': 'Distance:', 'af': 'Afstand :'}"
"{'en': 'Distance :\n', 'af': 'Afstand :'}"
"{'en': 'Release:', 'af': 'herverwerk'}"
"{'en': 'Release:\n', 'af': 'herverwerk'}"
"{'en': '_Remove Duplications', 'af': 'V_erwyder duplikate'}"
"{'en': 'R_emove duplicates\n', 'af': 'V_erwyder duplikate'}"
"{'en': 'of October', 'af': 'van Sepof October'}"
"{'en': 'of October\n', 'af': 'van Sepof October'}"
"{'en': 'Company:', 'af': 'Maatskappy :'}"
"{'en': 'Company :\n', 'af': 'Maatskappy :'}"
"{'en': '_Revision', 'af': 'Voo_rskou...'}"
"{'en': 'P_review\n', 'af': 'Voo_rskou...'}"
"{'en': '_Toolbar', 'af': 'N_utsbalk'}"
"{'en': 'T_oolbar\n', 'af': 'N_utsbalk'}"
"{'en': 'Sensitive C_facility', 'af': 'K_assensitief'}"
"{'en': 'C_ase Sensitive\n', 'af': 'K_assensitief'}"
"{'en': 'Get out of here.', 'af': 'Maand:'}"
"{'en': 'Hash:\n', 'af': 'Maand:'}"
"{'en': 'after', 'af': 'na'}"
"{'en': 'after\n', 'af': 'na'}"
"{'en': 'Description:', 'af': 'Beskrywing:'}"
"{'en': 'Description:\n', 'af': 'Beskrywing:'}"
"{'en': 'status bar', 'af': 'statusbalk'}"
"{'en': 'statusbar\n', 'af': 'statusbalk'}"
"{'en': 'Languages:', 'af': 'Tale:'}"
"{'en': 'Languages:\n', 'af': 'Tale:'}"
"{'en': 'Minimum:', 'af': 'Minimum:'}"
"{'en': 'Minimum:\n', 'af': 'Minimum:'}"
"{'en': 'Owner:', 'af': 'Eienaar :'}"
"{'en': 'Owner :\n', 'af': 'Eienaar :'}"
"{'en': 'Group:', 'af': 'Nie moontlik na onttrek opstelling lÃªer van die Cups bediener . Jy waarskynlik moet nie het die toegang verkry regte na aan te bring hierdie operasie .'}"
"{'en': 'Group :\n', 'af': 'Nie moontlik na onttrek opstelling lÃªer van die Cups bediener . Jy waarskynlik moet nie het die toegang verkry regte na aan te bring hierdie operasie .'}"
"{'en': 'Copyright:', 'af': 'Kopiereg:'}"
"{'en': 'Copyright:\n', 'af': 'Kopiereg:'}"
"{'en': 'Description:', 'af': 'IntekeningsEMAIL OF TRANSLATORS'}"
"{'en': 'Description:\n', 'af': 'IntekeningsEMAIL OF TRANSLATORS'}"
"{'en': 'of June', 'af': 'van Junie'}"
"{'en': 'of June\n', 'af': 'van Junie'}"
"{'en': 'invalid', 'af': 'ongeldig'}"
"{'en': 'invalid\n', 'af': 'ongeldig'}"
"{'en': 'C_reate', 'af': 'S_kep'}"
"{'en': 'C_reate\n', 'af': 'S_kep'}"
"{'en': 'Puzzle:', 'af': 'Raaisel:'}"
"{'en': 'Puzzle:\n', 'af': 'Raaisel:'}"
"{'en': 'Score:', 'af': 'Stop Besig om te dink'}"
"{'en': 'Score :\n', 'af': 'Stop Besig om te dink'}"
"{'en': 'Date/time', 'af': 'Na datum/ tyd:'}"
"{'en': 'Date/ time\n', 'af': 'Na datum/ tyd:'}"
"{'en': 'is', 'af': 'is'}"
"{'en': 'is\n', 'af': 'is'}"
"{'en': 'Comment:', 'af': 'Kommentaar :'}"
"{'en': 'Comment :\n', 'af': 'Kommentaar :'}"
"{'en': 'R_eply requested', 'af': 'A_ntwoord verlangESendOptionsWithin'}"
"{'en': 'R_eply requested\n', 'af': 'A_ntwoord verlangESendOptionsWithin'}"
"{'en': 'Country:', 'af': 'Land:'}"
"{'en': 'Country:\n', 'af': 'Land:'}"
"{'en': 'Azur', 'af': 'Aquamarine2color'}"
"{'en': 'azure\n', 'af': 'Aquamarine2color'}"
"{'en': '_Type:', 'af': 'T_ipe:'}"
"{'en': 'T_ype:\n', 'af': 'T_ipe:'}"
"{'en': '_Apply Filters', 'af': 'P_as filters toe'}"
"{'en': 'A_pply Filters\n', 'af': 'P_as filters toe'}"
"{'en': 'Description of the goods:', 'af': 'Versiering'}"
"{'en': 'Description :\n', 'af': 'Versiering'}"
"{'en': 'Find:', 'af': 'Soek :'}"
"{'en': 'Search :\n', 'af': 'Soek :'}"
"{'en': 'Classification:', 'af': 'Klassifikasie :'}"
"{'en': 'Classification :\n', 'af': 'Klassifikasie :'}"
"{'en': 'de Pao', 'af': 'Tamuz'}"
"{'en': 'of Pao\n', 'af': 'Tamuz'}"
"{'en': 'Version:', 'af': 'Herstel Knoppie'}"
"{'en': 'Version:\n', 'af': 'Herstel Knoppie'}"
"{'en': 'Stat_us:', 'af': 'Stat_us:'}"
"{'en': 'Stat_us:\n', 'af': 'Stat_us:'}"
"{'en': 'Graphs:', 'af': 'Grafika:'}"
"{'en': 'Graphics:\n', 'af': 'Grafika:'}"
"{'en': 'eight', 'af': 'agt'}"
"{'en': 'eight\n', 'af': 'agt'}"
"{'en': 'Scale:', 'af': 'Skaal :'}"
"{'en': 'Scale :\n', 'af': 'Skaal :'}"
"{'en': 'Accuracy:', 'af': 'Platheid :'}"
"{'en': 'Exactness :\n', 'af': 'Platheid :'}"
"{'en': 'Services:', 'af': 'Dienste :'}"
"{'en': 'Services :\n', 'af': 'Dienste :'}"
"{'en': 'Identifier:', 'af': 'Identifiseerder:'}"
"{'en': 'Identifier:\n', 'af': 'Identifiseerder:'}"
"{'en': 'Package:', 'af': 'Pakket:'}"
"{'en': 'Package:\n', 'af': 'Pakket:'}"
"{'en': 'for', 'af': 'altesaam'}"
"{'en': 'for\n', 'af': 'altesaam'}"
"{'en': 'System:', 'af': 'Stelsel:'}"
"{'en': 'System:\n', 'af': 'Stelsel:'}"
"{'en': 'Description:', 'af': 'Druk Bestemming'}"
"{'en': 'Description:\n', 'af': 'Druk Bestemming'}"
"{'en': 'Tiles:', 'af': 'Teëls:'}"
"{'en': 'Tiles:\n', 'af': 'Teëls:'}"
"{'en': 'Height:', 'af': 'Hoogte :'}"
"{'en': 'Height :\n', 'af': 'Hoogte :'}"
"{'en': 'keyliding', 'af': 'Tuisgidskeybinding'}"
"{'en': 'keybinding\n', 'af': 'Tuisgidskeybinding'}"
"{'en': 'is set', 'af': 'is gestel'}"
"{'en': 'is set\n', 'af': 'is gestel'}"
"{'en': 'Description:', 'af': 'Beskrywing:'}"
"{'en': 'Description:\n', 'af': 'Beskrywing:'}"
"{'en': 'Title:', 'af': 'Titel:'}"
"{'en': 'Title:\n', 'af': 'Titel:'}"
"{'en': '_Lake:', 'af': 'S_wart:'}"
"{'en': 'B_lack:\n', 'af': 'S_wart:'}"
"{'en': '_Pender', 'af': 'Sl_uimer'}"
"{'en': 'S_uspend\n', 'af': 'Sl_uimer'}"
"{'en': 'Level:', 'af': 'Vlak'}"
"{'en': 'Level :\n', 'af': 'Vlak'}"
"{'en': 'Comment:', 'af': 'Kommentaar :'}"
"{'en': 'Comment :\n', 'af': 'Kommentaar :'}"
"{'en': ""Isn't that right?"", 'af': 'NVT'}"
"{'en': 'nan\n', 'af': 'NVT'}"
"{'en': 'list box', 'af': 'lys'}"
"{'en': 'list box\n', 'af': 'lys'}"
"{'en': 'Format:', 'af': 'Formaat'}"
"{'en': 'Format :\n', 'af': 'Formaat'}"
"{'en': '_Command Member:', 'af': 'Opm_erking:'}"
"{'en': 'Comm_ent:\n', 'af': 'Opm_erking:'}"
"{'en': '_Enable sounds', 'af': 'Aktiveer _klanke'}"
"{'en': 'E_nable sounds\n', 'af': 'Aktiveer _klanke'}"
"{'en': 'Calendar:', 'af': '_Kalender:'}"
"{'en': 'Calendar:\n', 'af': '_Kalender:'}"
"{'en': 'Fla_g Completed', 'af': '_Merk as voltooi'}"
"{'en': 'Fla_g Completed\n', 'af': '_Merk as voltooi'}"
"{'en': 'after', 'af': 'na'}"
"{'en': 'after\n', 'af': 'na'}"
"{'en': 'Physical address:\\t%s', 'af': 'Hardewareadres:\\t%s'}"
"{'en': 'Hardware address:\\t%s\n', 'af': 'Hardewareadres:\\t%s'}"
"{'en': 'Not applicable.', 'af': 'min:'}"
"{'en': 'Min:\n', 'af': 'min:'}"
"{'en': 'Port:', 'af': 'Maand :'}"
"{'en': 'Port :\n', 'af': 'Maand :'}"
"{'en': 'double gnubg', 'af': 'gnubg dubbels'}"
"{'en': 'gnubg doubles\n', 'af': 'gnubg dubbels'}"
"{'en': 'Producer:', 'af': 'Vervaardiger:'}"
"{'en': 'Producer:\n', 'af': 'Vervaardiger:'}"
"{'en': 'red joker', 'af': 'rooi nar'}"
"{'en': 'red joker\n', 'af': 'rooi nar'}"
"{'en': 'C++ analyser', 'af': 'Pre- Parsing'}"
"{'en': 'C++ parser\n', 'af': 'Pre- Parsing'}"
"{'en': 'Find:', 'af': 'Soek:'}"
"{'en': 'Search:\n', 'af': 'Soek:'}"
"{'en': '_Summary:', 'af': 'Opso_mming:'}"
"{'en': 'Su_mmary:\n', 'af': 'Opso_mming:'}"
"{'en': 'Security:', 'af': 'Sekuriteit:'}"
"{'en': 'Security:\n', 'af': 'Sekuriteit:'}"
"{'en': 'd', 'af': 'dchess-file'}"
"{'en': 'd\n', 'af': 'dchess-file'}"
"{'en': 'a', 'af': 'vm.'}"
"{'en': 'a\n', 'af': 'vm.'}"
"{'en': 'ABS(x)', 'af': 'Abs( x )'}"
"{'en': 'ABS(x )\n', 'af': 'Abs( x )'}"
"{'en': '_To:', 'af': '_Aan:'}"
"{'en': 'T_o:\n', 'af': '_Aan:'}"
"{'en': 'of Kho', 'af': 'Khoof Tir short'}"
"{'en': 'of Kho\n', 'af': 'Khoof Tir short'}"
"{'en': 'of Shr', 'af': 'van Sha`banIndian National month 6 - ShortNamePossessive'}"
"{'en': 'of Shr\n', 'af': 'van Sha`banIndian National month 6 - ShortNamePossessive'}"
"{'en': 'top', 'af': 'bo'}"
"{'en': 'top\n', 'af': 'bo'}"
"{'en': 'past', 'af': 'geslaag'}"
"{'en': 'passed\n', 'af': 'geslaag'}"
"{'en': 'Brightness:', 'af': 'Helderheid:'}"
"{'en': 'Brightness:\n', 'af': 'Helderheid:'}"
"{'en': 'Guidance:', 'af': 'Aanbieding'}"
"{'en': 'Orientation:\n', 'af': 'Aanbieding'}"
"{'en': 'active', 'af': 'Onaktiewe venster'}"
"{'en': 'active\n', 'af': 'Onaktiewe venster'}"
"{'en': 'Subject matter:', 'af': 'Onderwerp:'}"
"{'en': 'Subject:\n', 'af': 'Onderwerp:'}"
"{'en': 'Cos-1', 'af': 'Cos-1'}"
"{'en': 'Cos-1\n', 'af': 'Cos-1'}"
