translation
"{'en': 'GNOME', 'cy': 'GNOME'}"
"{'en': 'Tacoma\n', 'cy': 'Tacoma'}"
"{'en': 'United States of America', 'cy': 'Chicago'}"
"{'en': 'Chicago\n', 'cy': 'Chicago'}"
"{'en': 'Chicago\n', 'cy': 'Chicago'}"
"{'en': 'Nuremberg', 'cy': 'NürnbergCity name (optional, probably does not need a translation)'}"
"{'en': 'Nuremberg\n', 'cy': 'NürnbergCity name (optional, probably does not need a translation)'}"
"{'en': 'Nuremberg\n', 'cy': 'NürnbergCity name (optional, probably does not need a translation)'}"
"{'en': 'Hillsdale', 'cy': 'Hillsdale'}"
"{'en': 'Hillsdale\n', 'cy': 'Hillsdale'}"
"{'en': 'Hillsdale\n', 'cy': 'Hillsdale'}"
"{'en': 'Edmonton', 'cy': 'Edmontoncanada. kgm'}"
"{'en': 'Edmonton\n', 'cy': 'Edmontoncanada. kgm'}"
"{'en': 'Edmonton\n', 'cy': 'Edmontoncanada. kgm'}"
"{'en': 'High', 'cy': 'Uchel'}"
"{'en': 'High\n', 'cy': 'Uchel'}"
"{'en': 'High\n', 'cy': 'Uchel'}"
"{'en': 'a', 'cy': 'am'}"
"{'en': 'a\n', 'cy': 'am'}"
"{'en': 'a\n', 'cy': 'am'}"
"{'en': 'City of Hill', 'cy': 'Hill City'}"
"{'en': 'Hill City\n', 'cy': 'Hill City'}"
"{'en': 'Hill City\n', 'cy': 'Hill City'}"
"{'en': 'VM Start', 'cy': 'Cychwyn VM'}"
"{'en': 'VM Start\n', 'cy': 'Cychwyn VM'}"
"{'en': 'VM Start\n', 'cy': 'Cychwyn VM'}"
"{'en': 'Seward', 'cy': 'Seward'}"
"{'en': 'Seward\n', 'cy': 'Seward'}"
"{'en': 'Seward\n', 'cy': 'Seward'}"
"{'en': 'Youngtown', 'cy': 'Youngstown'}"
"{'en': 'Youngstown\n', 'cy': 'Youngstown'}"
"{'en': 'Youngstown\n', 'cy': 'Youngstown'}"
"{'en': 'Entrance of the pond', 'cy': 'Pond Inlet'}"
"{'en': 'Pond Inlet\n', 'cy': 'Pond Inlet'}"
"{'en': 'Pond Inlet\n', 'cy': 'Pond Inlet'}"
"{'en': 'Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxide Oxides Oxides Oxides Oxides Oxoxide Oxoxide Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides Oxides', 'cy': 'Oxnard'}"
"{'en': 'Oxnard\n', 'cy': 'Oxnard'}"
"{'en': 'Oxnard\n', 'cy': 'Oxnard'}"
"{'en': 'Notification area', 'cy': 'Ardal Hysbysu'}"
"{'en': 'Notification Area\n', 'cy': 'Ardal Hysbysu'}"
"{'en': 'Notification Area\n', 'cy': 'Ardal Hysbysu'}"
"{'en': 'Annex I to Regulation (EU) No 1303/2013 of the European Parliament and of the Council of 21 December 2013 laying down detailed rules for the application of Council Regulation (EU) No 1303/2013 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EU) No 1303/2013 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EU) No 1308/2013 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EC) No 1303/2013 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EC) No 1303/2013 of 20 December 2013 laying down detailed rules for the application of Council Regulation (EC) No 1303/2009 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EC) No 1303/2009 of the European Parliament and of the Council laying down detailed rules for the application of Council Regulation (EC) No 1303/2009 of the European Parliament and of the Council on the common organisation of the market in fruit and vegetables, and repealing Council Regulation (EC) No 1303/2007 of the European Parliament and of the Council of the Council of the European Parliament and of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council of the Council', 'cy': 'I'}"
"{'en': 'I\n', 'cy': 'I'}"
"{'en': 'I\n', 'cy': 'I'}"
"{'en': 'External Editor', 'cy': 'Golygydd Allanol'}"
"{'en': 'External Editor\n', 'cy': 'Golygydd Allanol'}"
"{'en': 'External Editor\n', 'cy': 'Golygydd Allanol'}"
"{'en': 'Selangor', 'cy': 'Salvadorusa. kgm'}"
"{'en': 'Selangor\n', 'cy': 'Salvadorusa. kgm'}"
"{'en': 'Selangor\n', 'cy': 'Salvadorusa. kgm'}"
"{'en': 'Filter toolbar', 'cy': 'Bar Offer Ychwanegol'}"
"{'en': 'Filter Toolbar\n', 'cy': 'Bar Offer Ychwanegol'}"
"{'en': 'Filter Toolbar\n', 'cy': 'Bar Offer Ychwanegol'}"
"{'en': 'Johnstown', 'cy': 'Johnstown'}"
"{'en': 'Johnstown\n', 'cy': 'Johnstown'}"
"{'en': 'Johnstown\n', 'cy': 'Johnstown'}"
"{'en': 'Santa Fe', 'cy': 'Santa Fe'}"
"{'en': 'Santa Fe\n', 'cy': 'Santa Fe'}"
"{'en': 'Santa Fe\n', 'cy': 'Santa Fe'}"
"{'en': 'King', 'cy': 'KingmanCity name (optional, probably does not need a translation)'}"
"{'en': 'Kingman\n', 'cy': 'KingmanCity name (optional, probably does not need a translation)'}"
"{'en': 'Kingman\n', 'cy': 'KingmanCity name (optional, probably does not need a translation)'}"
"{'en': 'Calendar of months', 'cy': 'Calendr Mis'}"
"{'en': 'Month Calendar\n', 'cy': 'Calendr Mis'}"
"{'en': 'Month Calendar\n', 'cy': 'Calendr Mis'}"
"{'en': ""Mahjongg's scores"", 'cy': 'Sgoriau Mahjongg'}"
"{'en': 'Mahjongg Scores\n', 'cy': 'Sgoriau Mahjongg'}"
"{'en': 'Mahjongg Scores\n', 'cy': 'Sgoriau Mahjongg'}"
"{'en': 'Cambridge Bay', 'cy': 'Cambridge Bay'}"
"{'en': 'Cambridge Bay\n', 'cy': 'Cambridge Bay'}"
"{'en': 'Cambridge Bay\n', 'cy': 'Cambridge Bay'}"
"{'en': 'Kuantan', 'cy': 'Kuantan'}"
"{'en': 'Kuantan\n', 'cy': 'Kuantan'}"
"{'en': 'Kuantan\n', 'cy': 'Kuantan'}"
"{'en': 'Clear all', 'cy': 'Clirio Pob Un'}"
"{'en': 'Clear All\n', 'cy': 'Clirio Pob Un'}"
"{'en': 'Clear All\n', 'cy': 'Clirio Pob Un'}"
"{'en': 'Large', 'cy': 'Mawr'}"
"{'en': 'Large\n', 'cy': 'Mawr'}"
"{'en': 'Large\n', 'cy': 'Mawr'}"
"{'en': 'Next Puzzle', 'cy': 'Pos _Nesaf'}"
"{'en': 'Next Puzzle\n', 'cy': 'Pos _Nesaf'}"
"{'en': 'Next Puzzle\n', 'cy': 'Pos _Nesaf'}"
"{'en': 'Cell', 'cy': 'Celle'}"
"{'en': 'Celle\n', 'cy': 'Celle'}"
"{'en': 'Celle\n', 'cy': 'Celle'}"
"{'en': 'The port of Sachs', 'cy': 'Sachs Harbour'}"
"{'en': 'Sachs Harbour\n', 'cy': 'Sachs Harbour'}"
"{'en': 'Sachs Harbour\n', 'cy': 'Sachs Harbour'}"
"{'en': 'Ada', 'cy': 'Ada'}"
"{'en': 'Ada\n', 'cy': 'Ada'}"
"{'en': 'Ada\n', 'cy': 'Ada'}"
"{'en': 'kPa', 'cy': 'kPahectoPascals'}"
"{'en': 'kPa\n', 'cy': 'kPahectoPascals'}"
"{'en': 'kPa\n', 'cy': 'kPahectoPascals'}"
"{'en': 'Pali', 'cy': 'PaliName'}"
"{'en': 'Pali\n', 'cy': 'PaliName'}"
"{'en': 'Pali\n', 'cy': 'PaliName'}"
"{'en': 'Ostrava', 'cy': 'OstravaPraguePraha'}"
"{'en': 'Ostrava\n', 'cy': 'OstravaPraguePraha'}"
"{'en': 'Ostrava\n', 'cy': 'OstravaPraguePraha'}"
"{'en': 'Santa Rosa', 'cy': 'Santa Rosa'}"
"{'en': 'Santa Rosa\n', 'cy': 'Santa Rosa'}"
"{'en': 'Santa Rosa\n', 'cy': 'Santa Rosa'}"
"{'en': 'Seminole', 'cy': 'Seminole'}"
"{'en': 'Seminole\n', 'cy': 'Seminole'}"
"{'en': 'Seminole\n', 'cy': 'Seminole'}"
"{'en': 'Inbox', 'cy': 'Blwch Derbyn'}"
"{'en': 'Inbox\n', 'cy': 'Blwch Derbyn'}"
"{'en': 'Inbox\n', 'cy': 'Blwch Derbyn'}"
"{'en': 'Steering selector', 'cy': 'disgrifiad'}"
"{'en': 'Direction Chooser\n', 'cy': 'disgrifiad'}"
"{'en': 'Direction Chooser\n', 'cy': 'disgrifiad'}"
"{'en': 'Ranchi', 'cy': 'Carinthiaafrica. kgm'}"
"{'en': 'Ranchi\n', 'cy': 'Carinthiaafrica. kgm'}"
"{'en': 'Ranchi\n', 'cy': 'Carinthiaafrica. kgm'}"
"{'en': 'Emporia', 'cy': 'Emporia'}"
"{'en': 'Emporia\n', 'cy': 'Emporia'}"
"{'en': 'Emporia\n', 'cy': 'Emporia'}"
"{'en': 'Montserrat', 'cy': 'Monterrey'}"
"{'en': 'Montserrat\n', 'cy': 'Monterrey'}"
"{'en': 'Montserrat\n', 'cy': 'Monterrey'}"
"{'en': 'Intercept', 'cy': 'Rhwngwyneb'}"
"{'en': 'Intercept\n', 'cy': 'Rhwngwyneb'}"
"{'en': 'Intercept\n', 'cy': 'Rhwngwyneb'}"
"{'en': 'Ganca', 'cy': 'Gyanca'}"
"{'en': 'Ganca\n', 'cy': 'Gyanca'}"
"{'en': 'Ganca\n', 'cy': 'Gyanca'}"
"{'en': 'Substantial', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Underlined\n', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Underlined\n', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Selawik', 'cy': 'Selawik'}"
"{'en': 'Selawik\n', 'cy': 'Selawik'}"
"{'en': 'Selawik\n', 'cy': 'Selawik'}"
"{'en': 'Delete Email', 'cy': 'Dileu Memo'}"
"{'en': 'Delete Mail\n', 'cy': 'Dileu Memo'}"
"{'en': 'Delete Mail\n', 'cy': 'Dileu Memo'}"
"{'en': 'to', 'cy': 'at'}"
"{'en': 'at\n', 'cy': 'at'}"
"{'en': 'at\n', 'cy': 'at'}"
"{'en': 'GSSAPI', 'cy': 'GSSAPI'}"
"{'en': 'GSSAPI\n', 'cy': 'GSSAPI'}"
"{'en': 'GSSAPI\n', 'cy': 'GSSAPI'}"
"{'en': 'Mattoon', 'cy': 'Mattoon'}"
"{'en': 'Mattoon\n', 'cy': 'Mattoon'}"
"{'en': 'Mattoon\n', 'cy': 'Mattoon'}"
"{'en': 'Shark', 'cy': 'Siarc'}"
"{'en': 'Shark\n', 'cy': 'Siarc'}"
"{'en': 'Shark\n', 'cy': 'Siarc'}"
"{'en': 'Dirham Water', 'cy': 'Dirham UAE'}"
"{'en': 'UAE Dirham\n', 'cy': 'Dirham UAE'}"
"{'en': 'UAE Dirham\n', 'cy': 'Dirham UAE'}"
"{'en': 'Wisconsin', 'cy': 'Wisconsin'}"
"{'en': 'Wisconsin\n', 'cy': 'Wisconsin'}"
"{'en': 'Wisconsin\n', 'cy': 'Wisconsin'}"
"{'en': 'Maple Creek', 'cy': 'Maple Creek'}"
"{'en': 'Maple Creek\n', 'cy': 'Maple Creek'}"
"{'en': 'Maple Creek\n', 'cy': 'Maple Creek'}"
"{'en': 'North track', 'cy': 'Northway'}"
"{'en': 'Northway\n', 'cy': 'Northway'}"
"{'en': 'Northway\n', 'cy': 'Northway'}"
"{'en': 'Normal', 'cy': 'Arferol'}"
"{'en': 'Normal\n', 'cy': 'Arferol'}"
"{'en': 'Normal\n', 'cy': 'Arferol'}"
"{'en': 'Hakodate', 'cy': 'Hakodate'}"
"{'en': 'Hakodate\n', 'cy': 'Hakodate'}"
"{'en': 'Hakodate\n', 'cy': 'Hakodate'}"
"{'en': 'Place of publication', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Location\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Location\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Selectable', 'cy': 'Dewisadwy'}"
"{'en': 'Selectable\n', 'cy': 'Dewisadwy'}"
"{'en': 'Selectable\n', 'cy': 'Dewisadwy'}"
"{'en': 'Pangnirtung', 'cy': 'Pangnirtung'}"
"{'en': 'Pangnirtung\n', 'cy': 'Pangnirtung'}"
"{'en': 'Pangnirtung\n', 'cy': 'Pangnirtung'}"
"{'en': 'Ormond Beach', 'cy': 'Long Beach'}"
"{'en': 'Ormond Beach\n', 'cy': 'Long Beach'}"
"{'en': 'Ormond Beach\n', 'cy': 'Long Beach'}"
"{'en': 'Terra Nova', 'cy': 'Terra Nova'}"
"{'en': 'Terra Nova\n', 'cy': 'Terra Nova'}"
"{'en': 'Terra Nova\n', 'cy': 'Terra Nova'}"
"{'en': 'Delete Files', 'cy': 'Dileu proffil ""%s""?'}"
"{'en': 'Delete Files\n', 'cy': 'Dileu proffil ""%s""?'}"
"{'en': 'Delete Files\n', 'cy': 'Dileu proffil ""%s""?'}"
"{'en': 'Canberra', 'cy': 'Canberra'}"
"{'en': 'Canberra\n', 'cy': 'Canberra'}"
"{'en': 'Canberra\n', 'cy': 'Canberra'}"
"{'en': 'Move left', 'cy': ""Symud i' r Chwith""}"
"{'en': 'Move Left\n', 'cy': ""Symud i' r Chwith""}"
"{'en': 'Move Left\n', 'cy': ""Symud i' r Chwith""}"
"{'en': 'Chinese Simplified', 'cy': 'Tsieinëeg Symledig'}"
"{'en': 'Chinese Simplified\n', 'cy': 'Tsieinëeg Symledig'}"
"{'en': 'Chinese Simplified\n', 'cy': 'Tsieinëeg Symledig'}"
"{'en': 'Ithaca', 'cy': 'Ithaca'}"
"{'en': 'Ithaca\n', 'cy': 'Ithaca'}"
"{'en': 'Ithaca\n', 'cy': 'Ithaca'}"
"{'en': 'Jersey', 'cy': 'Jersey'}"
"{'en': 'Jersey\n', 'cy': 'Jersey'}"
"{'en': 'Jersey\n', 'cy': 'Jersey'}"
"{'en': 'light orange', 'cy': 'oren golau'}"
"{'en': 'light orange\n', 'cy': 'oren golau'}"
"{'en': 'light orange\n', 'cy': 'oren golau'}"
"{'en': 'Sweetheart.', 'cy': 'Darlington'}"
"{'en': 'Darlington\n', 'cy': 'Darlington'}"
"{'en': 'Darlington\n', 'cy': 'Darlington'}"
"{'en': 'File name', 'cy': 'Enw Ffeil'}"
"{'en': 'Filename\n', 'cy': 'Enw Ffeil'}"
"{'en': 'Filename\n', 'cy': 'Enw Ffeil'}"
"{'en': 'KolourPaint', 'cy': 'KolourPaint'}"
"{'en': 'KolourPaint\n', 'cy': 'KolourPaint'}"
"{'en': 'KolourPaint\n', 'cy': 'KolourPaint'}"
"{'en': 'Albania', 'cy': ""Allforio' r llyfr cyfeiriadau cyfan""}"
"{'en': 'Albania\n', 'cy': ""Allforio' r llyfr cyfeiriadau cyfan""}"
"{'en': 'Albania\n', 'cy': ""Allforio' r llyfr cyfeiriadau cyfan""}"
"{'en': 'Tatabánya', 'cy': 'hungary. kgm'}"
"{'en': 'Tatabánya\n', 'cy': 'hungary. kgm'}"
"{'en': 'Tatabánya\n', 'cy': 'hungary. kgm'}"
"{'en': 'Regex correspondence', 'cy': 'Cydweddu Mynegiant Rheolaidd'}"
"{'en': 'Regex Match\n', 'cy': 'Cydweddu Mynegiant Rheolaidd'}"
"{'en': 'Regex Match\n', 'cy': 'Cydweddu Mynegiant Rheolaidd'}"
"{'en': 'Colorado', 'cy': 'Coloradousa. kgm'}"
"{'en': 'Colorado\n', 'cy': 'Coloradousa. kgm'}"
"{'en': 'Colorado\n', 'cy': 'Coloradousa. kgm'}"
"{'en': 'Custom Location', 'cy': 'Unioniad'}"
"{'en': 'Custom Location\n', 'cy': 'Unioniad'}"
"{'en': 'Custom Location\n', 'cy': 'Unioniad'}"
"{'en': 'Gore Bay', 'cy': 'Gore Bay'}"
"{'en': 'Gore Bay\n', 'cy': 'Gore Bay'}"
"{'en': 'Gore Bay\n', 'cy': 'Gore Bay'}"
"{'en': 'Trignac', 'cy': 'Mérignac'}"
"{'en': 'Trignac\n', 'cy': 'Mérignac'}"
"{'en': 'Trignac\n', 'cy': 'Mérignac'}"
"{'en': 'View browser', 'cy': 'Golwg PoryddComment'}"
"{'en': 'Browser View\n', 'cy': 'Golwg PoryddComment'}"
"{'en': 'Browser View\n', 'cy': 'Golwg PoryddComment'}"
"{'en': 'Account Assistant', 'cy': 'Golygydd Cyfrifon'}"
"{'en': 'Account Wizard\n', 'cy': 'Golygydd Cyfrifon'}"
"{'en': 'Account Wizard\n', 'cy': 'Golygydd Cyfrifon'}"
"{'en': 'That is to say, it is a matter of', 'cy': 'IneCity name (optional, probably does not need a translation)'}"
"{'en': 'Ine\n', 'cy': 'IneCity name (optional, probably does not need a translation)'}"
"{'en': 'Ine\n', 'cy': 'IneCity name (optional, probably does not need a translation)'}"
"{'en': 'Maldonado', 'cy': 'Malabosouthamerica. kgm'}"
"{'en': 'Maldonado\n', 'cy': 'Malabosouthamerica. kgm'}"
"{'en': 'Maldonado\n', 'cy': 'Malabosouthamerica. kgm'}"
"{'en': 'Unalaska', 'cy': 'Unalaska'}"
"{'en': 'Unalaska\n', 'cy': 'Unalaska'}"
"{'en': 'Unalaska\n', 'cy': 'Unalaska'}"
"{'en': 'Shantou', 'cy': 'Shantou沈阳'}"
"{'en': 'Shantou\n', 'cy': 'Shantou沈阳'}"
"{'en': 'Shantou\n', 'cy': 'Shantou沈阳'}"
"{'en': 'Antananarivo', 'cy': 'Antananarivo / Ivato'}"
"{'en': 'Antananarivo\n', 'cy': 'Antananarivo / Ivato'}"
"{'en': 'Antananarivo\n', 'cy': 'Antananarivo / Ivato'}"
"{'en': 'Source file', 'cy': 'Ffeil Tarddiad'}"
"{'en': 'Source File\n', 'cy': 'Ffeil Tarddiad'}"
"{'en': 'Source File\n', 'cy': 'Ffeil Tarddiad'}"
"{'en': 'Primary phone', 'cy': 'Prif Ffôn'}"
"{'en': 'Primary Phone\n', 'cy': 'Prif Ffôn'}"
"{'en': 'Primary Phone\n', 'cy': 'Prif Ffôn'}"
"{'en': 'Hamburg', 'cy': 'Hessen'}"
"{'en': 'Hamburg\n', 'cy': 'Hessen'}"
"{'en': 'Hamburg\n', 'cy': 'Hessen'}"
"{'en': 'Cholitna', 'cy': 'Chulitna'}"
"{'en': 'Chulitna\n', 'cy': 'Chulitna'}"
"{'en': 'Chulitna\n', 'cy': 'Chulitna'}"
"{'en': 'Cap Dorset', 'cy': 'Cape Dorset'}"
"{'en': 'Cape Dorset\n', 'cy': 'Cape Dorset'}"
"{'en': 'Cape Dorset\n', 'cy': 'Cape Dorset'}"
"{'en': 'Milk River', 'cy': 'Milk River'}"
"{'en': 'Milk River\n', 'cy': 'Milk River'}"
"{'en': 'Milk River\n', 'cy': 'Milk River'}"
"{'en': 'Logo', 'cy': 'Logo'}"
"{'en': 'Logo\n', 'cy': 'Logo'}"
"{'en': 'Logo\n', 'cy': 'Logo'}"
"{'en': 'Port Harcourt', 'cy': 'Port Harcourt'}"
"{'en': 'Port Harcourt\n', 'cy': 'Port Harcourt'}"
"{'en': 'Port Harcourt\n', 'cy': 'Port Harcourt'}"
"{'en': 'Charleston', 'cy': 'Charleston'}"
"{'en': 'Charleston\n', 'cy': 'Charleston'}"
"{'en': 'Charleston\n', 'cy': 'Charleston'}"
"{'en': 'Romania', 'cy': 'Rwmania'}"
"{'en': 'Romania\n', 'cy': 'Rwmania'}"
"{'en': 'Romania\n', 'cy': 'Rwmania'}"
"{'en': 'Western Amazons', 'cy': 'Gorllewin AtlantaBrasília TimeBrazil'}"
"{'en': 'West Amazonas\n', 'cy': 'Gorllewin AtlantaBrasília TimeBrazil'}"
"{'en': 'West Amazonas\n', 'cy': 'Gorllewin AtlantaBrasília TimeBrazil'}"
"{'en': 'Brandon', 'cy': 'Brandon'}"
"{'en': 'Brandon\n', 'cy': 'Brandon'}"
"{'en': 'Brandon\n', 'cy': 'Brandon'}"
"{'en': 'Seoul', 'cy': 'Seoul'}"
"{'en': 'Seoul\n', 'cy': 'Seoul'}"
"{'en': 'Seoul\n', 'cy': 'Seoul'}"
"{'en': 'Johor Bahru', 'cy': 'Johore Bharu/Senai'}"
"{'en': 'Johor Bahru\n', 'cy': 'Johore Bharu/Senai'}"
"{'en': 'Johor Bahru\n', 'cy': 'Johore Bharu/Senai'}"
"{'en': 'Sfântu Gheorghe', 'cy': 'romania. kgm'}"
"{'en': 'Sfântu Gheorghe\n', 'cy': 'romania. kgm'}"
"{'en': 'Sfântu Gheorghe\n', 'cy': 'romania. kgm'}"
"{'en': 'Snow drop', 'cy': 'Lili Wen Fach'}"
"{'en': 'Snowdrop\n', 'cy': 'Lili Wen Fach'}"
"{'en': 'Snowdrop\n', 'cy': 'Lili Wen Fach'}"
"{'en': 'Staff', 'cy': 'Personol'}"
"{'en': 'Personal\n', 'cy': 'Personol'}"
"{'en': 'Personal\n', 'cy': 'Personol'}"
"{'en': 'Vertically fold', 'cy': 'tutorial-basic.LANG.svgztutorial-basic.svg'}"
"{'en': 'Flip vertically\n', 'cy': 'tutorial-basic.LANG.svgztutorial-basic.svg'}"
"{'en': 'Flip vertically\n', 'cy': 'tutorial-basic.LANG.svgztutorial-basic.svg'}"
"{'en': 'Altoona', 'cy': 'Altoona'}"
"{'en': 'Altoona\n', 'cy': 'Altoona'}"
"{'en': 'Altoona\n', 'cy': 'Altoona'}"
"{'en': 'Select Font', 'cy': 'Dewis Plygell'}"
"{'en': 'Select Font\n', 'cy': 'Dewis Plygell'}"
"{'en': 'Select Font\n', 'cy': 'Dewis Plygell'}"
"{'en': 'Romorantine', 'cy': 'Romorantin-Lanthenay'}"
"{'en': 'Romorantin\n', 'cy': 'Romorantin-Lanthenay'}"
"{'en': 'Romorantin\n', 'cy': 'Romorantin-Lanthenay'}"
"{'en': ""Don't move."", 'cy': 'RhewiDock this window'}"
"{'en': 'Freeze\n', 'cy': 'RhewiDock this window'}"
"{'en': 'Freeze\n', 'cy': 'RhewiDock this window'}"
"{'en': 'Cuba', 'cy': 'Cubaworld. kgm'}"
"{'en': 'Cuba\n', 'cy': 'Cubaworld. kgm'}"
"{'en': 'Cuba\n', 'cy': 'Cubaworld. kgm'}"
"{'en': 'Wadena', 'cy': 'Wadena'}"
"{'en': 'Wadena\n', 'cy': 'Wadena'}"
"{'en': 'Wadena\n', 'cy': 'Wadena'}"
"{'en': 'Stone brook', 'cy': 'Stony BrookCity name (optional, probably does not need a translation)'}"
"{'en': 'Stony Brook\n', 'cy': 'Stony BrookCity name (optional, probably does not need a translation)'}"
"{'en': 'Stony Brook\n', 'cy': 'Stony BrookCity name (optional, probably does not need a translation)'}"
"{'en': 'Antarctica', 'cy': 'Yr Antarctig'}"
"{'en': 'Antarctica\n', 'cy': 'Yr Antarctig'}"
"{'en': 'Antarctica\n', 'cy': 'Yr Antarctig'}"
"{'en': 'Arish', 'cy': 'Arrasusa. kgm'}"
"{'en': 'Arish\n', 'cy': 'Arrasusa. kgm'}"
"{'en': 'Arish\n', 'cy': 'Arrasusa. kgm'}"
"{'en': 'Mexico', 'cy': 'Mexico City'}"
"{'en': 'Mexico City\n', 'cy': 'Mexico City'}"
"{'en': 'Mexico City\n', 'cy': 'Mexico City'}"
"{'en': 'Save calendar', 'cy': 'Calendr Newydd'}"
"{'en': 'Save Calendar\n', 'cy': 'Calendr Newydd'}"
"{'en': 'Save Calendar\n', 'cy': 'Calendr Newydd'}"
"{'en': 'Home Fax', 'cy': 'Ffacs Cartref'}"
"{'en': 'Home Fax\n', 'cy': 'Ffacs Cartref'}"
"{'en': 'Home Fax\n', 'cy': 'Ffacs Cartref'}"
"{'en': 'High', 'cy': 'Uchel'}"
"{'en': 'High\n', 'cy': 'Uchel'}"
"{'en': 'High\n', 'cy': 'Uchel'}"
"{'en': 'Previous Puzzle', 'cy': 'Pos _Blaenorol'}"
"{'en': 'Previous Puzzle\n', 'cy': 'Pos _Blaenorol'}"
"{'en': 'Previous Puzzle\n', 'cy': 'Pos _Blaenorol'}"
"{'en': 'United Kingdom of Great Britain and Northern Ireland', 'cy': 'Rhufain'}"
"{'en': 'Rome\n', 'cy': 'Rhufain'}"
"{'en': 'Rome\n', 'cy': 'Rhufain'}"
"{'en': 'Pôrto Velho', 'cy': 'Porto Velho'}"
"{'en': 'Pôrto Velho\n', 'cy': 'Porto Velho'}"
"{'en': 'Pôrto Velho\n', 'cy': 'Porto Velho'}"
"{'en': 'Issued', 'cy': 'Cyhoeddwr'}"
"{'en': 'Issued\n', 'cy': 'Cyhoeddwr'}"
"{'en': 'Issued\n', 'cy': 'Cyhoeddwr'}"
"{'en': 'Increase in the indent', 'cy': '& Mynegiad'}"
"{'en': 'Increase Indent\n', 'cy': '& Mynegiad'}"
"{'en': 'Increase Indent\n', 'cy': '& Mynegiad'}"
"{'en': 'Default', 'cy': 'Sesiwn Rhagosodedig y System'}"
"{'en': 'Default Item\n', 'cy': 'Sesiwn Rhagosodedig y System'}"
"{'en': 'Default Item\n', 'cy': 'Sesiwn Rhagosodedig y System'}"
"{'en': 'Mariehamn', 'cy': 'Mariehamn'}"
"{'en': 'Mariehamn\n', 'cy': 'Mariehamn'}"
"{'en': 'Mariehamn\n', 'cy': 'Mariehamn'}"
"{'en': 'Bats', 'cy': 'Bastiaeurope. kgm'}"
"{'en': 'Batna\n', 'cy': 'Bastiaeurope. kgm'}"
