translation
"{'ro': '♪ ♪', 'en': ', ♪ ♪'}"
"{'ro': '♪ ♪', 'en': '♪ ♪'}"
"{'ro': 'Gemmei.', 'en': '! Gemma.'}"
"{'ro': 'Gemmei.', 'en': 'Gemma.'}"
"{'ro': 'Portland!', 'en': ': Portland!'}"
"{'ro': 'Portland!', 'en': 'Portland!'}"
"{'ro': 'Exact.', 'en': ', Exactly.'}"
"{'ro': 'Exact.', 'en': 'Exactly.'}"
"{'ro': 'John.', 'en': '. John.'}"
"{'ro': 'John.', 'en': 'John.'}"
"{'ro': 'Poftim ?', 'en': '. What?'}"
"{'ro': 'Poftim ?', 'en': 'What?'}"
"{'ro': 'Oh!', 'en': ', Oh!'}"
"{'ro': 'Oh!', 'en': 'Oh!'}"
"{'ro': 'Cum?', 'en': '? What?'}"
"{'ro': 'Cum?', 'en': 'What?'}"
"{'ro': 'Salut.', 'en': ': Hi.'}"
"{'ro': 'Salut.', 'en': 'Hi.'}"
"{'ro': 'Mișcă!', 'en': '; Move!'}"
"{'ro': 'Mișcă!', 'en': 'Move!'}"
"{'ro': 'Cum ...', 'en': ', How...'}"
"{'ro': 'Cum ...', 'en': 'How...'}"
"{'ro': 'Fascinant...', 'en': '; Fascinating.'}"
"{'ro': 'Fascinant...', 'en': 'Fascinating.'}"
"{'ro': 'Tată', 'en': '! Dad.'}"
"{'ro': 'Tată', 'en': 'Dad.'}"
"{'ro': 'Da!', 'en': ': Yes!'}"
"{'ro': 'Da!', 'en': 'Yes!'}"
"{'ro': 'Bine.', 'en': '; Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Bine ?', 'en': '. Okay?'}"
"{'ro': 'Bine ?', 'en': 'Okay?'}"
"{'ro': 'Bine.', 'en': '. Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'E grozav.', 'en': '! Beirut?'}"
"{'ro': 'E grozav.', 'en': 'Beirut?'}"
"{'ro': 'Ambele?', 'en': '! Both?'}"
"{'ro': 'Ambele?', 'en': 'Both?'}"
"{'ro': 'Asa de?', 'en': '. So?'}"
"{'ro': 'Asa de?', 'en': 'So?'}"
"{'ro': 'La naiba.', 'en': ': Fuck.'}"
"{'ro': 'La naiba.', 'en': 'Fuck.'}"
"{'ro': '- Respectele mele.', 'en': ': Mama!'}"
"{'ro': '- Respectele mele.', 'en': 'Mama!'}"
"{'ro': 'Relaxează-te.', 'en': ': Relax.'}"
"{'ro': 'Relaxează-te.', 'en': 'Relax.'}"
"{'ro': 'Ce ?', 'en': ', What?'}"
"{'ro': 'Ce ?', 'en': 'What?'}"
"{'ro': 'Bolnav ?', 'en': '. Ill?'}"
"{'ro': 'Bolnav ?', 'en': 'Ill?'}"
"{'ro': 'Arghhh!', 'en': '; Arghhh!'}"
"{'ro': 'Arghhh!', 'en': 'Arghhh!'}"
"{'ro': 'Proasto...', 'en': ': Bitch.'}"
"{'ro': 'Proasto...', 'en': 'Bitch.'}"
"{'ro': 'Mmm.', 'en': '. Mmm.'}"
"{'ro': 'Mmm.', 'en': 'Mmm.'}"
"{'ro': 'Castle!', 'en': ': Castle!'}"
"{'ro': 'Castle!', 'en': 'Castle!'}"
"{'ro': 'Şi ea la fel.', 'en': '; She.'}"
"{'ro': 'Şi ea la fel.', 'en': 'She.'}"
"{'ro': 'Haruko !', 'en': '! Haruko!'}"
"{'ro': 'Haruko !', 'en': 'Haruko!'}"
"{'ro': 'Nu mai spune...', 'en': ': Wow...'}"
"{'ro': 'Nu mai spune...', 'en': 'Wow...'}"
"{'ro': 'Bine.', 'en': '. Alright.'}"
"{'ro': 'Bine.', 'en': 'Alright.'}"
"{'ro': 'Bine .', 'en': '. Fine.'}"
"{'ro': 'Bine .', 'en': 'Fine.'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Doc?', 'en': ': Doc?'}"
"{'ro': 'Doc?', 'en': 'Doc?'}"
"{'ro': 'Te rog!', 'en': '; Please!'}"
"{'ro': 'Te rog!', 'en': 'Please!'}"
"{'ro': 'Tu.', 'en': ': You.'}"
"{'ro': 'Tu.', 'en': 'You.'}"
"{'ro': 'Huh!', 'en': '. Huh!'}"
"{'ro': 'Huh!', 'en': 'Huh!'}"
"{'ro': 'Scuze!', 'en': '. Sorry.'}"
"{'ro': 'Scuze!', 'en': 'Sorry.'}"
"{'ro': 'Martin.', 'en': ': Martin.'}"
"{'ro': 'Martin.', 'en': 'Martin.'}"
"{'ro': 'Începe!', 'en': ', Start.'}"
"{'ro': 'Începe!', 'en': 'Start.'}"
"{'ro': 'Mai multe.', 'en': ': Several.'}"
"{'ro': 'Mai multe.', 'en': 'Several.'}"
"{'ro': 'Lucas...', 'en': ', Lucas...'}"
"{'ro': 'Lucas...', 'en': 'Lucas...'}"
"{'ro': 'Alo?', 'en': '! Hello.'}"
"{'ro': 'Alo?', 'en': 'Hello.'}"
"{'ro': 'Aici.', 'en': '. Here.'}"
"{'ro': 'Aici.', 'en': 'Here.'}"
"{'ro': 'Şi?', 'en': '. And?'}"
"{'ro': 'Şi?', 'en': 'And?'}"
"{'ro': 'Bine...', 'en': '. Okay.'}"
"{'ro': 'Bine...', 'en': 'Okay.'}"
"{'ro': '- Salut.', 'en': '. Hey.'}"
"{'ro': '- Salut.', 'en': 'Hey.'}"
"{'ro': 'Scott?', 'en': ', Scott?'}"
"{'ro': 'Scott?', 'en': 'Scott?'}"
"{'ro': 'Vorbeste!', 'en': '. Speak!'}"
"{'ro': 'Vorbeste!', 'en': 'Speak!'}"
"{'ro': 'Cosmetică.', 'en': '? Cosmetic.'}"
"{'ro': 'Cosmetică.', 'en': 'Cosmetic.'}"
"{'ro': 'Ok.', 'en': '! Okay.'}"
"{'ro': 'Ok.', 'en': 'Okay.'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Minunat!', 'en': '. Great.'}"
"{'ro': 'Minunat!', 'en': 'Great.'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'OK?', 'en': ', OK?'}"
"{'ro': 'OK?', 'en': 'OK?'}"
"{'ro': 'Da, sigur.', 'en': '? Right.'}"
"{'ro': 'Da, sigur.', 'en': 'Right.'}"
"{'ro': 'D-nă.', 'en': '? Mrs..'}"
"{'ro': 'D-nă.', 'en': 'Mrs..'}"
"{'ro': 'Huh?', 'en': ', Huh?'}"
"{'ro': 'Huh?', 'en': 'Huh?'}"
"{'ro': 'Sefule?', 'en': ': Chief?'}"
"{'ro': 'Sefule?', 'en': 'Chief?'}"
"{'ro': 'Grozav.', 'en': '; Great.'}"
"{'ro': 'Grozav.', 'en': 'Great.'}"
"{'ro': 'Nu!', 'en': ': No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'OK ...', 'en': '! OK...'}"
"{'ro': 'OK ...', 'en': 'OK...'}"
"{'ro': '- La revedere !', 'en': '? Okay.'}"
"{'ro': '- La revedere !', 'en': 'Okay.'}"
"{'ro': 'Rapid.', 'en': ', Quickly.'}"
"{'ro': 'Rapid.', 'en': 'Quickly.'}"
"{'ro': 'Nu.', 'en': '. No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Pa.', 'en': ': Bye.'}"
"{'ro': 'Pa.', 'en': 'Bye.'}"
"{'ro': 'Salată?', 'en': '? Salad?'}"
"{'ro': 'Salată?', 'en': 'Salad?'}"
"{'ro': 'Orice.', 'en': ', Anything.'}"
"{'ro': 'Orice.', 'en': 'Anything.'}"
"{'ro': 'Remarcabil.', 'en': '! Remarkable.'}"
"{'ro': 'Remarcabil.', 'en': 'Remarkable.'}"
"{'ro': '- Ce este?', 'en': ', What?'}"
"{'ro': '- Ce este?', 'en': 'What?'}"
"{'ro': 'Ceai.', 'en': ', Tea.'}"
"{'ro': 'Ceai.', 'en': 'Tea.'}"
"{'ro': 'Oops!', 'en': ', Whoops!'}"
"{'ro': 'Oops!', 'en': 'Whoops!'}"
"{'ro': 'Bine?', 'en': '? Or...'}"
"{'ro': 'Bine?', 'en': 'Or...'}"
"{'ro': 'La telefon.', 'en': '; Speaking.'}"
"{'ro': 'La telefon.', 'en': 'Speaking.'}"
"{'ro': 'Bun.', 'en': '! Good.'}"
"{'ro': 'Bun.', 'en': 'Good.'}"
"{'ro': 'Stai.', 'en': ', Wait.'}"
"{'ro': 'Stai.', 'en': 'Wait.'}"
"{'ro': 'Doamne!', 'en': '! God!'}"
"{'ro': 'Doamne!', 'en': 'God!'}"
"{'ro': 'Rahat!', 'en': '; Shit.'}"
"{'ro': 'Rahat!', 'en': 'Shit.'}"
"{'ro': 'Când?', 'en': '; When?'}"
"{'ro': 'Când?', 'en': 'When?'}"
"{'ro': 'Desigur.', 'en': '! Certainly.'}"
"{'ro': 'Desigur.', 'en': 'Certainly.'}"
"{'ro': 'Îmi pare rău.', 'en': '. SORRY.'}"
"{'ro': 'Îmi pare rău.', 'en': 'SORRY.'}"
"{'ro': 'Ce amuzant.', 'en': '. Funny.'}"
"{'ro': 'Ce amuzant.', 'en': 'Funny.'}"
"{'ro': 'Cum ?', 'en': ': What?'}"
"{'ro': 'Cum ?', 'en': 'What?'}"
"{'ro': 'Bine.', 'en': '? Ok.'}"
"{'ro': 'Bine.', 'en': 'Ok.'}"
"{'ro': 'Nu!', 'en': ': No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Salut.', 'en': ': Hi.'}"
"{'ro': 'Salut.', 'en': 'Hi.'}"
"{'ro': 'Rade-o!', 'en': '! Git.'}"
"{'ro': 'Rade-o!', 'en': 'Git.'}"
"{'ro': '- Nu vreţi să ştiţi unde e cadavrul?', 'en': '! Hey!'}"
"{'ro': '- Nu vreţi să ştiţi unde e cadavrul?', 'en': 'Hey!'}"
"{'ro': 'Robert?', 'en': ', Robert?'}"
"{'ro': 'Robert?', 'en': 'Robert?'}"
"{'ro': 'Asta ?', 'en': '. This?'}"
"{'ro': 'Asta ?', 'en': 'This?'}"
"{'ro': 'Da!', 'en': '? Yeah!'}"
"{'ro': 'Da!', 'en': 'Yeah!'}"
"{'ro': 'Nu!', 'en': '? No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Ah...', 'en': '! Ah...'}"
"{'ro': 'Ah...', 'en': 'Ah...'}"
"{'ro': 'Nu.', 'en': '; No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Porneste!', 'en': ': Go!'}"
"{'ro': 'Porneste!', 'en': 'Go!'}"
"{'ro': 'Cine?', 'en': '; Who?'}"
"{'ro': 'Cine?', 'en': 'Who?'}"
"{'ro': 'Ricky!', 'en': '. Ricky!'}"
"{'ro': 'Ricky!', 'en': 'Ricky!'}"
"{'ro': 'Gavin...', 'en': ': Gavin...'}"
"{'ro': 'Gavin...', 'en': 'Gavin...'}"
"{'ro': 'Încântat.', 'en': '? Delighted.'}"
"{'ro': 'Încântat.', 'en': 'Delighted.'}"
"{'ro': 'Marshall.', 'en': '! Marshall.'}"
"{'ro': 'Marshall.', 'en': 'Marshall.'}"
"{'ro': 'Bine!', 'en': ': Good!'}"
"{'ro': 'Bine!', 'en': 'Good!'}"
"{'ro': 'Nu...', 'en': '? No.'}"
"{'ro': 'Nu...', 'en': 'No.'}"
"{'ro': 'Lena?', 'en': ': Lena?'}"
"{'ro': 'Lena?', 'en': 'Lena?'}"
"{'ro': 'PA!', 'en': '; Bye.'}"
"{'ro': 'PA!', 'en': 'Bye.'}"
"{'ro': 'Acumdu-te.', 'en': '! Nowgoon .'}"
"{'ro': 'Acumdu-te.', 'en': 'Nowgoon .'}"
"{'ro': 'Acasa!', 'en': '! Home!'}"
"{'ro': 'Acasa!', 'en': 'Home!'}"
"{'ro': 'Kenshin!', 'en': '! Kenshin!'}"
"{'ro': 'Kenshin!', 'en': 'Kenshin!'}"
"{'ro': 'Henri?', 'en': '? Henri?'}"
"{'ro': 'Henri?', 'en': 'Henri?'}"
"{'ro': 'Anna!', 'en': ': Anna!'}"
"{'ro': 'Anna!', 'en': 'Anna!'}"
"{'ro': 'Bine.', 'en': '; Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Kavanaugh ?', 'en': '; Kavanaugh?'}"
"{'ro': 'Kavanaugh ?', 'en': 'Kavanaugh?'}"
"{'ro': 'Mişcaţi-vă.', 'en': '; Move!'}"
"{'ro': 'Mişcaţi-vă.', 'en': 'Move!'}"
"{'ro': 'Şi...', 'en': '; And...'}"
"{'ro': 'Şi...', 'en': 'And...'}"
"{'ro': 'Sigur.', 'en': ': Sure.'}"
"{'ro': 'Sigur.', 'en': 'Sure.'}"
"{'ro': 'Nimic.', 'en': ': Nothing.'}"
"{'ro': 'Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Nu !', 'en': ': No!'}"
"{'ro': 'Nu !', 'en': 'No!'}"
"{'ro': 'Nu.', 'en': '! No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Manuel !', 'en': '. Manuel!'}"
"{'ro': 'Manuel !', 'en': 'Manuel!'}"
"{'ro': 'Ajutor !', 'en': '; Help!'}"
"{'ro': 'Ajutor !', 'en': 'Help!'}"
"{'ro': 'Extraordinar.', 'en': ': Outstanding.'}"
"{'ro': 'Extraordinar.', 'en': 'Outstanding.'}"
"{'ro': 'Mândru?', 'en': ': Proud?'}"
"{'ro': 'Mândru?', 'en': 'Proud?'}"
"{'ro': 'Bine.', 'en': ': Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Du-te!', 'en': '. Go!'}"
"{'ro': 'Du-te!', 'en': 'Go!'}"
"{'ro': 'Repetă.', 'en': '! Again.'}"
"{'ro': 'Repetă.', 'en': 'Again.'}"
"{'ro': 'Lydia.', 'en': '! Lydia.'}"
"{'ro': 'Lydia.', 'en': 'Lydia.'}"
"{'ro': 'Uhh!', 'en': '? Uhh!'}"
"{'ro': 'Uhh!', 'en': 'Uhh!'}"
"{'ro': '- Nimic.', 'en': '; Nothing.'}"
"{'ro': '- Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Bine.', 'en': '; Fine.'}"
"{'ro': 'Bine.', 'en': 'Fine.'}"
"{'ro': 'Peter?', 'en': '. Peter?'}"
"{'ro': 'Peter?', 'en': 'Peter?'}"
"{'ro': 'Bine.', 'en': '; Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': 'Stop.', 'en': ', Stop.'}"
"{'ro': 'Stop.', 'en': 'Stop.'}"
"{'ro': 'Ajutor !', 'en': '; Help!'}"
"{'ro': 'Ajutor !', 'en': 'Help!'}"
"{'ro': 'Aşteaptă.', 'en': ': Wait.'}"
"{'ro': 'Aşteaptă.', 'en': 'Wait.'}"
"{'ro': 'Irma!', 'en': '; Irma!'}"
"{'ro': 'Irma!', 'en': 'Irma!'}"
"{'ro': 'Bine?', 'en': '; Okay?'}"
"{'ro': 'Bine?', 'en': 'Okay?'}"
"{'ro': '- Fotograf.', 'en': '; Photographer.'}"
"{'ro': '- Fotograf.', 'en': 'Photographer.'}"
"{'ro': 'Bartowski...', 'en': ': Bartowski.'}"
"{'ro': 'Bartowski...', 'en': 'Bartowski.'}"
"{'ro': '-Ce?', 'en': ', What?'}"
"{'ro': '-Ce?', 'en': 'What?'}"
"{'ro': 'Jegosule.', 'en': '; Dirtbag.'}"
"{'ro': 'Jegosule.', 'en': 'Dirtbag.'}"
"{'ro': 'Ok.', 'en': ': OK.'}"
"{'ro': 'Ok.', 'en': 'OK.'}"
"{'ro': 'Joe?', 'en': '! Joe?'}"
"{'ro': 'Joe?', 'en': 'Joe?'}"
"{'ro': 'Noshimuri.', 'en': '; Noshimuri.'}"
"{'ro': 'Noshimuri.', 'en': 'Noshimuri.'}"
"{'ro': 'Maiestate.', 'en': '. Majesty.'}"
"{'ro': 'Maiestate.', 'en': 'Majesty.'}"
"{'ro': 'Doar...', 'en': ', Just...'}"
"{'ro': 'Doar...', 'en': 'Just...'}"
"{'ro': 'Start!', 'en': '; Go!'}"
"{'ro': 'Start!', 'en': 'Go!'}"
"{'ro': 'Dar aici suntem ...', 'en': ', Exactly.'}"
"{'ro': 'Dar aici suntem ...', 'en': 'Exactly.'}"
"{'ro': 'Jamis.', 'en': ', Jamis.'}"
"{'ro': 'Jamis.', 'en': 'Jamis.'}"
"{'ro': 'Quinn.', 'en': ', Quinn.'}"
"{'ro': 'Quinn.', 'en': 'Quinn.'}"
"{'ro': 'Urmatoarea.', 'en': '; Next.'}"
"{'ro': 'Urmatoarea.', 'en': 'Next.'}"
"{'ro': 'Bine.', 'en': '? Fine.'}"
"{'ro': 'Bine.', 'en': 'Fine.'}"
"{'ro': '- E grozav.', 'en': '. Eric.'}"
"{'ro': '- E grozav.', 'en': 'Eric.'}"
"{'ro': 'Scott!', 'en': '! Scott!'}"
"{'ro': 'Scott!', 'en': 'Scott!'}"
"{'ro': 'Mult.', 'en': '. Badly.'}"
"{'ro': 'Mult.', 'en': 'Badly.'}"
"{'ro': 'Mm.', 'en': '; Mm.'}"
"{'ro': 'Mm.', 'en': 'Mm.'}"
"{'ro': '- Nu.', 'en': '? No.'}"
"{'ro': '- Nu.', 'en': 'No.'}"
"{'ro': 'Franco.', 'en': '. Franco.'}"
"{'ro': 'Franco.', 'en': 'Franco.'}"
"{'ro': 'Clar!', 'en': ': Clear!'}"
"{'ro': 'Clar!', 'en': 'Clear!'}"
"{'ro': 'Acum...', 'en': '; Now...'}"
"{'ro': 'Acum...', 'en': 'Now...'}"
"{'ro': 'Mausie', 'en': ': Mausie.'}"
"{'ro': 'Mausie', 'en': 'Mausie.'}"
"{'ro': 'Oh...', 'en': '! Oh...'}"
"{'ro': 'Oh...', 'en': 'Oh...'}"
"{'ro': 'Plin de sperantă.', 'en': '? Hopeful.'}"
"{'ro': 'Plin de sperantă.', 'en': 'Hopeful.'}"
"{'ro': 'Oh!', 'en': '. Oh!'}"
"{'ro': 'Oh!', 'en': 'Oh!'}"
"{'ro': 'Pastramă ?', 'en': '? Pastrami?'}"
"{'ro': 'Pastramă ?', 'en': 'Pastrami?'}"
"{'ro': 'Posibil.', 'en': ', Possible.'}"
"{'ro': 'Posibil.', 'en': 'Possible.'}"
"{'ro': 'Grozav.', 'en': ': Awesome.'}"
"{'ro': 'Grozav.', 'en': 'Awesome.'}"
"{'ro': 'Bun...', 'en': ': Well...'}"
"{'ro': 'Bun...', 'en': 'Well...'}"
"{'ro': 'Da, exact.', 'en': ': Yeahght.'}"
"{'ro': 'Da, exact.', 'en': 'Yeahght.'}"
"{'ro': 'Gata.', 'en': '. Ready.'}"
"{'ro': 'Gata.', 'en': 'Ready.'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Ajutor ! .', 'en': ': Help.'}"
"{'ro': 'Ajutor ! .', 'en': 'Help.'}"
"{'ro': 'Hei.', 'en': '. Hey.'}"
"{'ro': 'Hei.', 'en': 'Hey.'}"
"{'ro': 'Imediat.', 'en': ': Immediately.'}"
"{'ro': 'Imediat.', 'en': 'Immediately.'}"
"{'ro': 'Vincent.', 'en': '? Vincent.'}"
"{'ro': 'Vincent.', 'en': 'Vincent.'}"
"{'ro': 'In regula !', 'en': '! Alright!'}"
"{'ro': 'In regula !', 'en': 'Alright!'}"
"{'ro': 'Antonia!', 'en': '. Antonia!'}"
"{'ro': 'Antonia!', 'en': 'Antonia!'}"
"{'ro': 'Sarah.', 'en': '; Sarah.'}"
"{'ro': 'Sarah.', 'en': 'Sarah.'}"
"{'ro': '- Pa!', 'en': '. Bye.'}"
"{'ro': '- Pa!', 'en': 'Bye.'}"
"{'ro': 'Închideţi!', 'en': '? Close!'}"
"{'ro': 'Închideţi!', 'en': 'Close!'}"
"{'ro': 'Deci...', 'en': '? So...'}"
"{'ro': 'Deci...', 'en': 'So...'}"
"{'ro': 'Hartmann? Domnule?', 'en': '? Hartmann?'}"
"{'ro': 'Hartmann? Domnule?', 'en': 'Hartmann?'}"
"{'ro': 'Elvgren.', 'en': ': Elvgren.'}"
"{'ro': 'Elvgren.', 'en': 'Elvgren.'}"
"{'ro': 'Uite!', 'en': '; Look!'}"
"{'ro': 'Uite!', 'en': 'Look!'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Ce ?', 'en': '! What?'}"
"{'ro': 'Ce ?', 'en': 'What?'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Ce este?', 'en': ', What?'}"
"{'ro': 'Ce este?', 'en': 'What?'}"
"{'ro': 'Căpitan.', 'en': '! Captain.'}"
"{'ro': 'Căpitan.', 'en': 'Captain.'}"
"{'ro': 'Îmi pare rău.', 'en': '. Sorry.'}"
"{'ro': 'Îmi pare rău.', 'en': 'Sorry.'}"
"{'ro': 'Uite.', 'en': '! Look.'}"
"{'ro': 'Uite.', 'en': 'Look.'}"
"{'ro': 'Desigur.', 'en': ': Certainly.'}"
"{'ro': 'Desigur.', 'en': 'Certainly.'}"
"{'ro': 'Stai.', 'en': ': Wait.'}"
"{'ro': 'Stai.', 'en': 'Wait.'}"
"{'ro': 'Pentru că...', 'en': '; Because...'}"
"{'ro': 'Pentru că...', 'en': 'Because...'}"
"{'ro': 'Aşteaptă.', 'en': ', Wait.'}"
"{'ro': 'Aşteaptă.', 'en': 'Wait.'}"
"{'ro': 'Vedeţi?', 'en': '. See?'}"
"{'ro': 'Vedeţi?', 'en': 'See?'}"
"{'ro': 'Mac!', 'en': '. Mac!'}"
"{'ro': 'Mac!', 'en': 'Mac!'}"
"{'ro': 'Nu!', 'en': '? No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Pe curând !', 'en': ', Bye!'}"
"{'ro': 'Pe curând !', 'en': 'Bye!'}"
"{'ro': 'Ce ?', 'en': '. What?'}"
"{'ro': 'Ce ?', 'en': 'What?'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Cuba, Congo,', 'en': '? Cuba, Congo,'}"
"{'ro': 'Cuba, Congo,', 'en': 'Cuba, Congo,'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Vino.', 'en': '. Come.'}"
"{'ro': 'Vino.', 'en': 'Come.'}"
"{'ro': 'Intoarce.', 'en': '! Return.'}"
"{'ro': 'Intoarce.', 'en': 'Return.'}"
"{'ro': 'Arizona!', 'en': '? Arizona!'}"
"{'ro': 'Arizona!', 'en': 'Arizona!'}"
"{'ro': 'Maddie?', 'en': '; Maddie?'}"
"{'ro': 'Maddie?', 'en': 'Maddie?'}"
"{'ro': 'Tu.', 'en': ': You.'}"
"{'ro': 'Tu.', 'en': 'You.'}"
"{'ro': 'Desigur.', 'en': '? Certainly.'}"
"{'ro': 'Desigur.', 'en': 'Certainly.'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': '- Stai.', 'en': ': Wait.'}"
"{'ro': '- Stai.', 'en': 'Wait.'}"
"{'ro': 'Maria...', 'en': '. Maria...'}"
"{'ro': 'Maria...', 'en': 'Maria...'}"
"{'ro': '- Salut.', 'en': '; Hey.'}"
"{'ro': '- Salut.', 'en': 'Hey.'}"
"{'ro': 'Nici.', 'en': '? Neither.'}"
"{'ro': 'Nici.', 'en': 'Neither.'}"
"{'ro': 'Uau !', 'en': ', Wow!'}"
"{'ro': 'Uau !', 'en': 'Wow!'}"
"{'ro': 'Cu grijă!', 'en': ': Careful.'}"
"{'ro': 'Cu grijă!', 'en': 'Careful.'}"
"{'ro': 'Billy?', 'en': ': Billy?'}"
"{'ro': 'Billy?', 'en': 'Billy?'}"
"{'ro': 'Bine.', 'en': ', Fine.'}"
"{'ro': 'Bine.', 'en': 'Fine.'}"
"{'ro': 'Cineva?', 'en': '. Anybody?'}"
"{'ro': 'Cineva?', 'en': 'Anybody?'}"
"{'ro': 'Jake?', 'en': ', Jake?'}"
"{'ro': 'Jake?', 'en': 'Jake?'}"
"{'ro': 'Iată.', 'en': '; Here.'}"
"{'ro': 'Iată.', 'en': 'Here.'}"
"{'ro': 'Hartă?', 'en': '; Map?'}"
"{'ro': 'Hartă?', 'en': 'Map?'}"
"{'ro': 'Îmi pare rău.', 'en': '! Sorry.'}"
"{'ro': 'Îmi pare rău.', 'en': 'Sorry.'}"
"{'ro': 'Pricepi?', 'en': '; Okay?'}"
"{'ro': 'Pricepi?', 'en': 'Okay?'}"
"{'ro': 'Tu...', 'en': ', You...'}"
"{'ro': 'Tu...', 'en': 'You...'}"
"{'ro': 'Poate.', 'en': ', Maybe.'}"
"{'ro': 'Poate.', 'en': 'Maybe.'}"
"{'ro': 'Khalil!', 'en': '! Khalil!'}"
"{'ro': 'Khalil!', 'en': 'Khalil!'}"
"{'ro': 'Bine.', 'en': '; Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Daţi-i drumul!', 'en': '! Ready?'}"
"{'ro': 'Daţi-i drumul!', 'en': 'Ready?'}"
"{'ro': 'Vă iubesc.', 'en': '! Bye.'}"
"{'ro': 'Vă iubesc.', 'en': 'Bye.'}"
"{'ro': 'Tomas.', 'en': '; Tomas.'}"
"{'ro': 'Tomas.', 'en': 'Tomas.'}"
"{'ro': 'Nu!', 'en': '? No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Tucker.', 'en': ': Tucker.'}"
"{'ro': 'Tucker.', 'en': 'Tucker.'}"
"{'ro': ""Dă-i drumu'!"", 'en': ': Go!'}"
"{'ro': ""Dă-i drumu'!"", 'en': 'Go!'}"
"{'ro': 'Oh ...', 'en': ': Oh...'}"
"{'ro': 'Oh ...', 'en': 'Oh...'}"
"{'ro': 'Nu!', 'en': ': No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Şi?', 'en': '. And?'}"
"{'ro': 'Şi?', 'en': 'And?'}"
"{'ro': 'Atacă! Mai vrei?', 'en': ', Attack!'}"
"{'ro': 'Atacă! Mai vrei?', 'en': 'Attack!'}"
"{'ro': 'Scuze.', 'en': '! Sorry.'}"
"{'ro': 'Scuze.', 'en': 'Sorry.'}"
"{'ro': '- Nu.', 'en': '. No.'}"
"{'ro': '- Nu.', 'en': 'No.'}"
"{'ro': 'Nu...', 'en': '. No.'}"
"{'ro': 'Nu...', 'en': 'No.'}"
"{'ro': 'Torpile, domnule?', 'en': '. Torpedoes?'}"
"{'ro': 'Torpile, domnule?', 'en': 'Torpedoes?'}"
"{'ro': 'Da!', 'en': '! Yeah!'}"
"{'ro': 'Da!', 'en': 'Yeah!'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Deci...', 'en': '. So...'}"
"{'ro': 'Deci...', 'en': 'So...'}"
"{'ro': 'Justin...', 'en': ': Justin...'}"
"{'ro': 'Justin...', 'en': 'Justin...'}"
"{'ro': 'De fapt ...', 'en': '. Actually...'}"
"{'ro': 'De fapt ...', 'en': 'Actually...'}"
"{'ro': 'Totuşi...', 'en': '; But...'}"
"{'ro': 'Totuşi...', 'en': 'But...'}"
"{'ro': 'Aaah !', 'en': '? Aaah!'}"
